Dates,JWN
2019-01-18,52.68000030517578
2020-02-24,52.470001220703125
2020-05-13,52.88999938964844
2019-12-10,53.150001525878906
2020-02-27,54.54999923706055
2019-12-13,54.650001525878906
2020-05-19,53.540000915527344
2019-03-06,53.77000045776367
2018-11-30,53.349998474121094
2019-08-13,50.90999984741211
2019-07-12,51.13999938964844
2019-06-10,49.66999816894531
2019-05-09,50.29999923706055
2018-07-25,50.65999984741211
2018-09-27,50.43000030517578
2018-10-29,49.97999954223633
2019-10-16,48.77000045776367
2019-12-16,48.810001373291016
2020-03-04,48.779998779296875
2020-05-22,47.06999969482422
2019-10-01,46.959999084472656
2019-12-19,44.95000076293945
2018-09-10,46.939998626708984
2019-05-24,46.66999816894531
2018-08-09,46.88999938964844
2019-04-22,47.099998474121094
2019-03-21,48.099998474121094
2019-01-16,48.11000061035156
2019-08-28,47.689998626708984
2018-11-13,48.90999984741211
2018-10-12,49.97999954223633
2019-06-25,49.959999084472656
2020-03-10,47.34000015258789
2020-05-28,48.77000045776367
2019-10-07,47.849998474121094
2020-03-13,47.560001373291016
2019-10-10,45.06999969482422
2020-03-16,46.08000183105469
2020-06-03,47.869998931884766
2018-11-28,47.83000183105469
2018-09-25,47.15999984741211
2018-07-23,46.7400016784668
2018-08-24,47.650001525878906
2019-07-10,46.72999954223633
2019-05-07,46.09000015258789
2019-04-05,46.349998474121094
2019-03-04,46.45000076293945
2019-01-31,46.79999923706055
2019-09-12,46.0
2019-12-31,46.790000915527344
2020-03-19,46.72999954223633
2020-01-03,46.650001525878906
2020-06-09,46.369998931884766
2019-02-15,45.599998474121094
2019-01-14,46.349998474121094
2018-07-06,45.58000183105469
2018-08-07,44.689998626708984
2018-10-10,44.84000015258789
2018-12-13,45.45000076293945
2019-08-26,45.79999923706055
2019-07-25,45.369998931884766
2019-05-22,44.040000915527344
2019-03-19,45.349998474121094
2020-01-06,46.599998474121094
2020-03-25,47.279998779296875
2020-06-12,47.650001525878906
2019-10-22,48.869998931884766
2020-01-09,46.93000030517578
2020-06-15,45.97999954223633
2019-10-25,45.97999954223633
2020-03-31,44.9900016784668
2020-06-18,44.29999923706055
2019-04-03,44.54999923706055
2018-08-22,44.459999084472656
2018-10-25,44.86000061035156
2019-01-29,44.54999923706055
2018-12-28,44.540000915527344
2018-11-26,44.220001220703125
2019-08-09,44.95000076293945
2019-07-08,44.63999938964844
2019-06-06,43.81999969482422
2019-09-10,43.880001068115234
2020-01-15,44.290000915527344
2020-04-03,44.59000015258789
2019-10-31,44.72999954223633
2020-04-06,45.91999816894531
2020-06-24,44.68000030517578
2018-11-09,44.959999084472656
2019-07-23,44.9900016784668
2019-06-21,44.66999816894531
2019-05-20,45.560001373291016
2019-04-18,46.20000076293945
2018-09-06,46.029998779296875
2018-10-08,44.86000061035156
2019-02-13,46.0
2018-12-11,45.689998626708984
2019-09-25,44.2599983215332
2020-01-21,44.040000915527344
2020-04-09,43.4900016784668
2019-11-06,44.18000030517578
2020-01-24,44.349998474121094
2020-01-27,43.75
2020-04-15,42.52000045776367
2018-12-26,42.5
2019-08-07,41.97999954223633
2019-06-04,41.38999938964844
2018-09-21,41.630001068115234
2018-07-19,41.130001068115234
2018-08-20,40.9900016784668
2018-10-23,41.040000915527344
2019-05-03,40.689998626708984
2019-04-01,40.66999816894531
2019-02-28,40.619998931884766
2019-11-12,40.349998474121094
2020-01-30,39.97999954223633
2019-11-15,39.560001373291016
2020-04-21,39.119998931884766
2019-04-16,38.4900016784668
2019-03-15,38.099998474121094
2019-02-11,37.849998474121094
2019-01-10,37.70000076293945
2019-08-22,37.79999923706055
2018-11-07,38.189998626708984
2018-08-03,35.209999084472656
2018-09-04,34.810001373291016
2019-06-19,34.02000045776367
2019-09-23,33.959999084472656
2019-11-18,33.040000915527344
2020-02-05,32.93000030517578
2020-04-24,32.0
2019-03-29,32.43000030517578
2019-11-21,33.18000030517578
2020-04-27,33.31999969482422
2020-02-11,31.8700008392334
2020-04-30,31.729999542236328
2019-05-01,32.79999923706055
2019-02-26,33.16999816894531
2019-01-25,33.0099983215332
2018-12-24,32.709999084472656
2019-09-06,32.66999816894531
2018-07-17,33.119998931884766
2018-09-19,32.93000030517578
2019-08-05,33.38999938964844
2019-10-08,33.869998931884766
2019-12-11,33.7599983215332
2019-11-27,33.220001220703125
