Dates,ADP
2018-10-29,137.39999389648438
2019-10-16,135.9199981689453
2019-12-16,134.49000549316406
2020-03-04,134.13999938964844
2020-05-22,131.1300048828125
2019-10-01,131.9600067138672
2019-12-19,126.25
2018-09-10,127.77999877929688
2019-05-24,129.75999450683594
2018-08-09,131.25999450683594
2019-04-22,131.17999267578125
2019-03-21,130.77999877929688
2019-01-16,129.3000030517578
2019-08-28,131.38999938964844
2018-11-13,132.14999389648438
2018-10-12,132.42999267578125
2019-06-25,131.86000061035156
2020-03-10,132.5800018310547
2020-05-28,132.0
2019-10-07,131.64999389648438
2020-03-13,133.22000122070312
2019-10-10,133.5500030517578
2020-03-16,133.75
2020-06-03,135.3800048828125
2018-11-28,134.52000427246094
2018-09-25,134.6300048828125
2018-07-23,135.72000122070312
2018-08-24,136.74000549316406
2019-07-10,135.72999572753906
2019-05-07,135.8800048828125
2019-04-05,140.7899932861328
2019-03-04,141.14999389648438
2019-01-31,141.69000244140625
2019-09-12,143.69000244140625
2019-12-31,145.49000549316406
2020-03-19,146.08999633789062
2020-01-03,145.88999938964844
2020-06-09,146.85000610351562
2019-02-15,147.74000549316406
2019-01-14,149.92999267578125
2018-07-06,151.35000610351562
2018-08-07,150.0
2018-10-10,150.32000732421875
2018-12-13,150.5500030517578
2019-08-26,150.7100067138672
2019-07-25,151.5
2019-05-22,153.2100067138672
2019-03-19,154.5500030517578
2020-01-06,153.4199981689453
2020-03-25,153.39999389648438
2020-06-12,153.55999755859375
2019-10-22,154.41000366210938
2020-01-09,154.32000732421875
2020-06-15,153.60000610351562
2019-10-25,153.32000732421875
2020-03-31,151.97999572753906
2020-06-18,149.5800018310547
2019-04-03,151.19000244140625
2018-08-22,152.80999755859375
2018-10-25,153.97999572753906
2019-01-29,153.6699981689453
2018-12-28,155.36000061035156
2018-11-26,155.8000030517578
2019-08-09,155.17999267578125
2019-07-08,154.99000549316406
2019-06-06,156.0399932861328
2019-09-10,155.3000030517578
2020-01-15,154.2100067138672
2020-04-03,156.27000427246094
2019-10-31,157.25999450683594
2020-04-06,158.52999877929688
2020-06-24,159.91000366210938
2018-11-09,162.32000732421875
2019-07-23,162.7100067138672
2019-06-21,162.4499969482422
2019-05-20,161.3699951171875
2019-04-18,160.4199981689453
2018-09-06,160.60000610351562
2018-10-08,160.66000366210938
2019-02-13,160.82000732421875
2018-12-11,161.75999450683594
2019-09-25,163.3800048828125
2020-01-21,163.86000061035156
2020-04-09,164.41000366210938
2019-11-06,162.97000122070312
2020-01-24,163.72999572753906
2020-01-27,162.41000366210938
2020-04-15,165.1300048828125
2018-12-26,165.5
2019-08-07,164.1699981689453
2019-06-04,164.42999267578125
2018-09-21,164.25
