Dates,CMG
2019-05-07,533.0
2019-04-05,534.9400024414062
2019-03-04,532.7999877929688
2019-01-31,529.47998046875
2019-09-12,528.260009765625
2019-12-31,531.2999877929688
2020-03-19,527.280029296875
2020-01-03,568.4199829101562
2020-06-09,582.4099731445312
2019-02-15,584.1500244140625
2019-01-14,608.0
2018-07-06,593.5700073242188
2018-08-07,597.02001953125
2018-10-10,606.510009765625
2018-12-13,606.1400146484375
2019-08-26,598.4099731445312
2019-07-25,597.72998046875
2019-05-22,600.5900268554688
2019-03-19,601.0
2020-01-06,595.0
2020-03-25,597.4000244140625
2020-06-12,599.5900268554688
2019-10-22,610.0999755859375
2020-01-09,612.4000244140625
2020-06-15,618.47998046875
2019-10-25,616.010009765625
2020-03-31,614.4199829101562
2020-06-18,607.9099731445312
2019-04-03,615.8200073242188
2018-08-22,618.3400268554688
2018-10-25,633.5
2019-01-29,637.0700073242188
2018-12-28,643.5700073242188
2018-11-26,643.3599853515625
2019-08-09,657.0
2019-07-08,664.6599731445312
2019-06-06,668.0900268554688
2019-09-10,675.4000244140625
2020-01-15,669.989990234375
2020-04-03,679.989990234375
2019-10-31,689.9500122070312
2020-04-06,697.3200073242188
2020-06-24,704.8200073242188
2018-11-09,712.1500244140625
2019-07-23,703.0
2019-06-21,704.5900268554688
2019-05-20,704.989990234375
2019-04-18,703.4500122070312
2018-09-06,708.0
2018-10-08,713.0800170898438
2019-02-13,711.0
2018-12-11,711.8400268554688
2019-09-25,707.5
2020-01-21,712.1900024414062
2020-04-09,716.6500244140625
2019-11-06,699.4099731445312
2020-01-24,695.0
2020-01-27,699.0
2020-04-15,701.9000244140625
2018-12-26,705.9600219726562
2019-08-07,711.010009765625
2019-06-04,682.0
2018-09-21,680.3499755859375
2018-07-19,677.9099731445312
2018-08-20,688.8599853515625
2018-10-23,687.4000244140625
2019-05-03,707.5700073242188
2019-04-01,703.22998046875
2019-02-28,716.6300048828125
2019-11-12,706.3800048828125
2020-01-30,706.0
2019-11-15,702.7999877929688
2020-04-21,697.5999755859375
2019-04-16,690.510009765625
2019-03-15,700.010009765625
2019-02-11,708.0700073242188
2019-01-10,705.0
2019-08-22,717.0
2018-11-07,721.5599975585938
2018-08-03,715.0
2018-09-04,682.0
2019-06-19,670.0
2019-09-23,662.9000244140625
2019-11-18,676.4000244140625
2020-02-05,667.97998046875
2020-04-24,662.9500122070312
2019-03-29,657.6300048828125
2019-11-21,649.0700073242188
2020-04-27,663.5
2020-02-11,683.1500244140625
2020-04-30,698.0
2019-05-01,716.7000122070312
2019-02-26,720.510009765625
2019-01-25,733.77001953125
2018-12-24,741.8400268554688
2019-09-06,733.8800048828125
2018-07-17,743.0
2018-09-19,733.75
2019-08-05,732.1900024414062
2019-10-08,742.0
2019-12-11,739.6599731445312
2019-11-27,726.77001953125
2020-02-14,733.9400024414062
2020-05-06,735.0999755859375
2019-01-08,730.2999877929688
2018-12-07,723.1699829101562
2019-08-20,738.4299926757812
2018-11-05,726.1500244140625
2019-07-19,722.030029296875
2018-10-04,729.9500122070312
2019-06-17,737.6300048828125
2019-05-16,748.8099975585938
2018-08-01,745.510009765625
2019-03-13,744.5
2019-12-03,744.0999755859375
2020-02-20,754.0
2019-12-06,758.7000122070312
2020-05-12,760.3699951171875
2019-12-09,753.239990234375
2020-02-26,764.0999755859375
2020-05-15,746.510009765625
2019-03-28,746.0
2018-09-17,760.5
2018-08-16,778.77001953125
2018-10-19,782.8499755859375
2019-04-29,791.0599975585938
2019-01-23,803.2000122070312
2019-09-04,804.8499755859375
2018-11-20,794.72998046875
2019-07-02,790.5499877929688
2019-05-31,784.239990234375
2019-12-12,785.9199829101562
2020-05-18,783.75
2019-09-27,799.969970703125
2020-03-03,812.8200073242188
2020-05-21,817.7100219726562
2019-05-14,807.7999877929688
2018-08-31,807.8099975585938
2018-07-30,800.0
2018-10-02,813.0999755859375
2019-04-12,824.4400024414062
2019-03-11,823.0
2019-02-07,822.3499755859375
2019-07-17,830.0
