Dates,LRCX
2019-12-16,136.27999877929688
2020-03-04,129.92999267578125
2020-05-22,126.6500015258789
2019-10-01,126.73999786376953
2019-12-19,123.22000122070312
2018-09-10,122.63999938964844
2019-05-24,127.51000213623047
2018-08-09,133.32000732421875
2019-04-22,134.30999755859375
2019-03-21,133.39999389648438
2019-01-16,131.35000610351562
2019-08-28,133.35000610351562
2018-11-13,137.38999938964844
2018-10-12,133.36000061035156
2019-06-25,138.27999877929688
2020-03-10,141.38999938964844
2020-05-28,142.89999389648438
2019-10-07,138.6300048828125
2020-03-13,138.8800048828125
2019-10-10,138.63999938964844
2020-03-16,136.64999389648438
2020-06-03,143.10000610351562
2018-11-28,138.42999267578125
2018-09-25,137.5800018310547
2018-07-23,150.02000427246094
2018-08-24,159.75
2019-07-10,159.0
2019-05-07,163.91000366210938
2019-04-05,166.64999389648438
2019-03-04,167.86000061035156
2019-01-31,169.42999267578125
2019-09-12,170.8800048828125
2019-12-31,171.6999969482422
2020-03-19,174.0
2020-01-03,173.25999450683594
2020-06-09,171.64999389648438
2019-02-15,174.83999633789062
2019-01-14,177.3000030517578
2018-07-06,179.27999877929688
2018-08-07,180.05999755859375
2018-10-10,179.33999633789062
2018-12-13,180.22000122070312
2019-08-26,180.55999755859375
2019-07-25,178.57000732421875
2019-05-22,175.10000610351562
2019-03-19,179.4199981689453
2020-01-06,178.1999969482422
2020-03-25,174.32000732421875
2020-06-12,174.89999389648438
2019-10-22,175.88999938964844
2020-01-09,176.55999755859375
2020-06-15,172.25
2019-10-25,168.17999267578125
2020-03-31,164.88999938964844
2020-06-18,163.60000610351562
2019-04-03,169.52000427246094
2018-08-22,170.89999389648438
2018-10-25,170.00999450683594
2019-01-29,171.0
2018-12-28,180.35000610351562
2018-11-26,178.50999450683594
2019-08-09,178.99000549316406
2019-07-08,174.60000610351562
2019-06-06,175.7899932861328
2019-09-10,178.97999572753906
2020-01-15,176.92999267578125
2020-04-03,179.0
2019-10-31,177.10000610351562
2020-04-06,174.11000061035156
2020-06-24,177.0800018310547
2018-11-09,181.4499969482422
2019-07-23,183.02000427246094
2019-06-21,186.22999572753906
2019-05-20,189.30999755859375
2019-04-18,192.0
2018-09-06,191.33999633789062
2018-10-08,189.1699981689453
2019-02-13,188.60000610351562
2018-12-11,190.5
2019-09-25,192.47000122070312
2020-01-21,189.9499969482422
2020-04-09,193.8699951171875
2019-11-06,194.2899932861328
2020-01-24,194.47000122070312
2020-01-27,193.08999633789062
2020-04-15,193.39999389648438
2018-12-26,194.58999633789062
2019-08-07,202.5
2019-06-04,199.60000610351562
2018-09-21,204.3800048828125
2018-07-19,205.2899932861328
2018-08-20,203.88999938964844
2018-10-23,203.39999389648438
2019-05-03,206.1699981689453
2019-04-01,198.75
2019-02-28,194.85000610351562
2019-11-12,197.08999633789062
2020-01-30,193.02999877929688
2019-11-15,193.9199981689453
2020-04-21,186.94000244140625
2019-04-16,189.47000122070312
2019-03-15,190.64999389648438
2019-02-11,190.66000366210938
2019-01-10,193.0
2019-08-22,182.74000549316406
2018-11-07,185.49000549316406
2018-08-03,185.14999389648438
2018-09-04,182.27000427246094
2019-06-19,181.6999969482422
2019-09-23,178.64999389648438
2019-11-18,174.6999969482422
2020-02-05,177.52000427246094
2020-04-24,174.52999877929688
2019-03-29,171.0399932861328
2019-11-21,172.75999450683594
2020-04-27,178.92999267578125
2020-02-11,181.64999389648438
2020-04-30,184.6300048828125
2019-05-01,188.08999633789062
2019-02-26,189.3699951171875
2019-01-25,178.82000732421875
2018-12-24,178.75
2019-09-06,173.5
