Dates,LRCX
2019-05-28,139.0833740234375
2019-04-26,134.56825256347656
2020-04-28,132.48876953125
2019-11-25,138.2554473876953
2020-02-12,137.19644165039062
2020-05-01,139.85354614257812
2020-05-04,141.69232177734375
2019-06-12,139.68026733398438
2019-04-09,139.78614807128906
2019-03-08,138.89085388183594
2019-02-04,140.93177795410156
2018-07-27,134.1157684326172
2018-08-28,137.24459838867188
2019-01-03,133.9136199951172
2019-08-15,130.71739196777344
2018-10-31,134.07725524902344
2019-09-16,136.44554138183594
2020-02-18,146.1978302001953
2020-05-07,145.8608856201172
2018-08-17,142.1062774658203
2019-12-04,146.4000244140625
2020-02-21,146.03419494628906
2018-12-17,146.02455139160156
2019-08-30,142.3373565673828
2018-11-15,137.58154296875
2019-07-29,138.58277893066406
2019-06-27,137.4178924560547
2019-04-24,140.94140625
2018-07-10,142.48175048828125
2018-09-12,138.380615234375
2019-02-19,138.1013946533203
2019-01-18,139.13153076171875
2020-02-24,138.57313537597656
2020-05-13,141.32650756835938
2019-12-10,141.35537719726562
2020-02-27,148.10403442382812
2019-12-13,147.05465698242188
2020-05-19,151.10769653320312
2019-03-06,155.01632690429688
2018-11-30,145.09999084472656
2019-08-13,141.2614288330078
2019-07-12,133.79751586914062
2019-06-10,133.593994140625
2019-05-09,134.049560546875
2018-07-25,134.20465087890625
2018-09-27,134.50514221191406
2018-10-29,131.21910095214844
2019-10-16,131.51959228515625
2019-12-16,133.70059204101562
2020-03-04,127.09941864013672
2020-05-22,124.3755874633789
2019-10-01,123.26085662841797
2019-12-19,119.49980926513672
2018-09-10,126.8280029296875
2019-05-24,129.19317626953125
2018-08-09,131.26756286621094
2019-04-22,131.99456787109375
2019-03-21,134.0592803955078
2019-01-16,127.59376525878906
2019-08-28,133.82662963867188
2018-11-13,135.01889038085938
2018-10-12,132.73126220703125
2019-06-25,139.58447265625
2020-03-10,140.13699340820312
2020-05-28,139.69110107421875
2019-10-07,136.12391662597656
2020-03-13,135.70712280273438
2019-10-10,134.49545288085938
2020-03-16,137.41314697265625
2020-06-03,143.025634765625
2018-11-28,135.60047912597656
2018-09-25,135.0576629638672
2018-07-23,156.25704956054688
2018-08-24,160.41552734375
2019-07-10,160.96803283691406
2019-05-07,159.9308624267578
2019-04-05,165.688720703125
2019-03-04,164.38009643554688
2019-01-31,167.47230529785156
2019-09-12,167.850341796875
2019-12-31,168.36407470703125
2020-03-19,171.66949462890625
2020-01-03,170.33184814453125
2020-06-09,169.92471313476562
2019-02-15,170.52569580078125
2019-01-14,173.7535858154297
2018-07-06,175.4595947265625
