Dates,WAB
2019-08-06,55.529998779296875
2018-07-18,56.86000061035156
2018-09-20,56.91999816894531
2018-10-22,55.7599983215332
2019-07-05,59.0
2019-06-03,61.79999923706055
2019-10-09,61.189998626708984
2019-10-11,59.849998474121094
2020-03-17,59.68000030517578
2020-06-04,62.029998779296875
2019-10-14,63.529998779296875
2020-03-20,65.2300033569336
2018-11-06,70.37000274658203
2019-06-18,71.16999816894531
2019-05-17,69.06999969482422
2019-04-15,65.12999725341797
2019-03-14,59.939998626708984
2019-01-09,59.619998931884766
2018-08-02,57.68000030517578
2018-10-05,62.369998931884766
2019-08-21,61.13999938964844
2019-10-17,60.08000183105469
2020-03-23,59.29999923706055
2020-06-10,58.7599983215332
2019-02-25,60.529998779296875
2020-01-07,58.25
2020-03-26,56.83000183105469
2019-10-23,55.599998474121094
