Dates,IQV
2019-06-06,140.32000732421875
2019-09-10,141.57000732421875
2020-01-15,139.75999450683594
2020-04-03,142.5800018310547
2019-10-31,139.8699951171875
2020-04-06,140.24000549316406
2020-06-24,142.08999633789062
2018-11-09,144.27999877929688
2019-07-23,143.83999633789062
2019-06-21,144.0399932861328
2019-05-20,140.8800048828125
2019-04-18,142.2100067138672
2018-09-06,141.88999938964844
2018-10-08,143.49000549316406
2019-02-13,144.38999938964844
2018-12-11,142.74000549316406
2019-09-25,142.35000610351562
2020-01-21,140.5399932861328
2020-04-09,135.6999969482422
2019-11-06,131.33999633789062
2020-01-24,131.02999877929688
2020-01-27,132.2100067138672
2020-04-15,132.82000732421875
2018-12-26,134.60000610351562
2019-08-07,134.99000549316406
2019-06-04,136.25999450683594
2018-09-21,137.72999572753906
2018-07-19,138.6699981689453
2018-08-20,134.1300048828125
2018-10-23,132.72999572753906
2019-05-03,136.36000061035156
2019-04-01,136.75
2019-02-28,133.1699981689453
2019-11-12,132.83999633789062
2020-01-30,131.35000610351562
2019-11-15,130.83999633789062
2020-04-21,130.77000427246094
2019-04-16,133.0
2019-03-15,132.7899932861328
2019-02-11,134.47000122070312
2019-01-10,133.08999633789062
2019-08-22,132.75999450683594
2018-11-07,134.17999267578125
2018-08-03,133.25999450683594
2018-09-04,132.17999267578125
2019-06-19,135.44000244140625
2019-09-23,136.47000122070312
2019-11-18,134.77000427246094
2020-02-05,135.1300048828125
2020-04-24,134.38999938964844
2019-03-29,132.80999755859375
2019-11-21,131.8699951171875
2020-04-27,136.08999633789062
2020-02-11,137.14999389648438
2020-04-30,136.88999938964844
2019-05-01,138.1999969482422
2019-02-26,138.63999938964844
2019-01-25,137.7899932861328
2018-12-24,139.58999633789062
2019-09-06,140.64999389648438
2018-07-17,140.97999572753906
2018-09-19,142.27000427246094
2019-08-05,145.66000366210938
2019-10-08,153.0800018310547
2019-12-11,154.52999877929688
2019-11-27,155.60000610351562
2020-02-14,153.3800048828125
2020-05-06,152.94000244140625
2019-01-08,155.8000030517578
2018-12-07,156.1199951171875
2019-08-20,158.8000030517578
2018-11-05,157.55999755859375
2019-07-19,160.58999633789062
2018-10-04,158.72999572753906
2019-06-17,158.5800018310547
2019-05-16,157.66000366210938
2018-08-01,158.32000732421875
2019-03-13,157.24000549316406
2019-12-03,156.3699951171875
2020-02-20,157.41000366210938
2019-12-06,156.4499969482422
2020-05-12,155.85000610351562
2019-12-09,154.3800048828125
2020-02-26,155.3000030517578
2020-05-15,156.02999877929688
2019-03-28,155.1699981689453
2018-09-17,154.1999969482422
2018-08-16,159.82000732421875
2018-10-19,158.63999938964844
2019-04-29,158.10000610351562
2019-01-23,157.10000610351562
2019-09-04,157.9199981689453
2018-11-20,157.27999877929688
2019-07-02,155.6699981689453
2019-05-31,150.6699981689453
2019-12-12,151.85000610351562
2020-05-18,151.27000427246094
2019-09-27,155.42999267578125
2020-03-03,154.89999389648438
2020-05-21,153.55999755859375
2019-05-14,153.74000549316406
2018-08-31,150.22000122070312
2018-07-30,150.5800018310547
2018-10-02,153.1999969482422
2019-04-12,155.9499969482422
2019-03-11,154.77000427246094
2019-02-07,154.55999755859375
2019-07-17,155.47000122070312
2019-09-19,152.3699951171875
