Dates,SYK
2019-08-26,187.63999938964844
2019-07-25,187.5800018310547
2019-05-22,188.6699981689453
2019-03-19,187.47999572753906
2020-01-06,185.24000549316406
2020-03-25,186.77000427246094
2020-06-12,188.50999450683594
2019-10-22,191.5800018310547
2020-01-09,190.6699981689453
2020-06-15,189.92999267578125
2019-10-25,188.33999633789062
2020-03-31,187.05999755859375
2020-06-18,187.22999572753906
2019-04-03,189.22000122070312
2018-08-22,190.8000030517578
2018-10-25,191.83999633789062
2019-01-29,193.35000610351562
2018-12-28,194.0399932861328
2018-11-26,193.5800018310547
2019-08-09,196.1199951171875
2019-07-08,197.13999938964844
2019-06-06,198.0
2019-09-10,194.44000244140625
2020-01-15,195.1699981689453
2020-04-03,196.0800018310547
2019-10-31,196.1999969482422
2020-04-06,196.1199951171875
2020-06-24,197.52000427246094
2018-11-09,196.10000610351562
2019-07-23,195.1699981689453
2019-06-21,194.83999633789062
2019-05-20,193.7100067138672
2019-04-18,195.24000549316406
2018-09-06,195.74000549316406
2018-10-08,195.97000122070312
2019-02-13,196.13999938964844
2018-12-11,195.3300018310547
2019-09-25,192.6699981689453
2020-01-21,193.4199981689453
2020-04-09,189.0399932861328
2019-11-06,180.24000549316406
2020-01-24,180.25999450683594
2020-01-27,182.16000366210938
2020-04-15,186.9600067138672
2018-12-26,185.0399932861328
2019-08-07,187.1699981689453
2019-06-04,188.27999877929688
2018-09-21,187.2899932861328
2018-07-19,188.91000366210938
2018-08-20,186.6999969482422
2018-10-23,188.85000610351562
2019-05-03,190.7100067138672
2019-04-01,191.02000427246094
2019-02-28,187.52999877929688
2019-11-12,188.0500030517578
2020-01-30,188.00999450683594
2019-11-15,187.3000030517578
2020-04-21,184.1999969482422
2019-04-16,184.17999267578125
2019-03-15,185.6699981689453
2019-02-11,185.6300048828125
2019-01-10,184.13999938964844
2019-08-22,184.30999755859375
2018-11-07,185.4499969482422
2018-08-03,185.9499969482422
2018-09-04,184.5
2019-06-19,184.77000427246094
2019-09-23,181.97999572753906
2019-11-18,181.3800048828125
2020-02-05,183.75
2020-04-24,183.24000549316406
2019-03-29,183.02000427246094
2019-11-21,186.4499969482422
2020-04-27,189.13999938964844
2020-02-11,191.82000732421875
2020-04-30,194.3000030517578
2019-05-01,196.1199951171875
2019-02-26,194.80999755859375
2019-01-25,197.14999389648438
2018-12-24,196.77999877929688
2019-09-06,195.47000122070312
2018-07-17,196.38999938964844
2018-09-19,198.17999267578125
2019-08-05,200.49000549316406
2019-10-08,203.27999877929688
2019-12-11,202.72000122070312
2019-11-27,204.47999572753906
2020-02-14,203.8000030517578
2020-05-06,202.3699951171875
2019-01-08,202.5399932861328
2018-12-07,205.5800018310547
2019-08-20,206.5399932861328
2018-11-05,205.8000030517578
2019-07-19,208.14999389648438
2018-10-04,208.55999755859375
2019-06-17,208.07000732421875
2019-05-16,208.97000122070312
2018-08-01,209.05999755859375
2019-03-13,210.83999633789062
2019-12-03,206.39999389648438
2020-02-20,205.49000549316406
2019-12-06,205.39999389648438
2020-05-12,207.9499969482422
2019-12-09,210.4499969482422
2020-02-26,208.02000427246094
2020-05-15,208.49000549316406
2019-03-28,209.3699951171875
2018-09-17,213.57000732421875
2018-08-16,212.66000366210938
2018-10-19,214.4499969482422
2019-04-29,215.32000732421875
2019-01-23,213.61000061035156
2019-09-04,209.77999877929688
2018-11-20,212.9199981689453
2019-07-02,211.6199951171875
2019-05-31,205.66000366210938
2019-12-12,211.2100067138672
2020-05-18,211.74000549316406
2019-09-27,217.7899932861328
2020-03-03,218.74000549316406
2020-05-21,217.19000244140625
2019-05-14,219.11000061035156
2018-08-31,212.05999755859375
2018-07-30,215.3000030517578
2018-10-02,217.0
2019-04-12,218.63999938964844
2019-03-11,217.94000244140625
2019-02-07,219.02000427246094
2019-07-17,218.27000427246094
2019-09-19,214.10000610351562
2019-10-21,217.13999938964844
2019-12-18,218.50999450683594
2020-03-06,219.49000549316406
2019-10-03,221.82000732421875
2020-03-09,220.66000366210938
2020-05-27,218.1199951171875
2019-12-24,219.0
2020-03-12,220.22000122070312
