Dates,AEP
2019-11-05,93.37999725341797
2019-12-27,93.55999755859375
2020-06-02,93.83999633789062
2019-12-30,94.88999938964844
2020-03-18,94.80000305175781
2020-06-05,94.52999877929688
2019-07-15,94.87999725341797
2018-12-03,94.66999816894531
2019-06-13,93.56999969482422
2019-01-04,93.30000305175781
2018-08-29,92.58000183105469
2019-02-05,93.83000183105469
2018-11-01,94.06999969482422
2019-08-16,93.94999694824219
2019-04-10,93.2300033569336
2019-09-17,93.08000183105469
2019-10-15,92.93000030517578
2020-01-02,92.8499984741211
2020-06-08,92.61000061035156
2019-10-18,92.66999816894531
2020-03-24,93.3499984741211
2020-06-11,94.27999877929688
2020-01-08,94.54000091552734
2019-04-25,94.69999694824219
2019-07-30,95.0999984741211
2019-02-20,96.22000122070312
2018-07-11,95.76000213623047
2018-09-13,94.08999633789062
2018-10-15,93.41999816894531
2019-06-28,94.55999755859375
2018-12-18,94.6500015258789
2018-11-16,94.9800033569336
2019-10-02,93.7300033569336
2020-03-27,92.55000305175781
2020-01-10,92.2300033569336
2019-10-24,90.83000183105469
2020-03-30,89.43000030517578
2020-06-17,89.43000030517578
2020-01-14,88.95999908447266
2020-04-02,90.12000274658203
2019-01-02,90.56999969482422
2019-08-14,89.79000091552734
2018-10-30,90.98999786376953
2019-06-11,91.27999877929688
2019-05-10,91.63999938964844
2019-04-08,91.55000305175781
2018-08-27,91.77999877929688
2018-07-26,91.69000244140625
2018-09-28,91.80999755859375
2019-03-07,91.66000366210938
2019-10-30,92.08999633789062
2020-01-17,91.18000030517578
2020-06-23,91.26000213623047
2020-04-08,92.1500015258789
2020-06-26,92.55000305175781
2019-03-22,92.79000091552734
2019-01-17,92.33999633789062
2019-08-29,92.02999877929688
2018-11-14,92.45999908447266
2019-06-26,92.18000030517578
2018-09-11,92.20999908447266
2018-07-09,93.04000091552734
2018-08-10,93.81999969482422
2019-04-23,93.94999694824219
2019-09-30,94.0999984741211
2020-01-23,95.7699966430664
2019-11-08,95.23999786376953
2020-04-14,93.9800033569336
2019-11-11,94.0999984741211
2020-01-29,94.30000305175781
2020-04-17,94.16999816894531
2018-07-24,94.54000091552734
2018-09-26,94.55999755859375
2019-05-08,94.04000091552734
2019-03-05,93.98999786376953
2019-02-01,93.83000183105469
2018-12-31,94.0199966430664
2018-11-29,94.13999938964844
2019-08-12,94.66000366210938
2019-07-11,95.0999984741211
2019-09-13,94.9800033569336
2019-11-14,96.66999816894531
2020-04-20,97.52999877929688
2020-02-04,98.66000366210938
2020-04-23,99.8499984741211
2018-12-14,100.4000015258789
2019-08-27,101.02999877929688
2018-08-08,102.36000061035156
2018-10-11,102.75
2018-11-12,102.55000305175781
2019-07-26,103.13999938964844
2019-06-24,104.12999725341797
2019-05-23,104.43000030517578
2019-03-20,104.69999694824219
2019-01-15,104.97000122070312
2019-11-20,103.0999984741211
2020-02-07,102.72000122070312
2020-02-10,102.19000244140625
2020-04-29,101.9800033569336
2019-11-26,102.41999816894531
2020-02-13,102.3499984741211
2019-01-30,103.18000030517578
2018-08-23,103.87999725341797
2018-09-24,104.62999725341797
2018-11-27,104.38999938964844
2018-10-26,103.98999786376953
2019-07-09,103.13999938964844
2019-06-07,102.30000305175781
2019-05-06,100.62000274658203
2019-04-04,99.0199966430664
2019-09-11,97.51000213623047
2019-11-29,90.02999877929688
2020-05-05,95.30999755859375
2019-12-02,97.80000305175781
2020-02-19,100.6500015258789
2020-05-08,100.18000030517578
2019-05-21,97.72000122070312
2019-03-18,99.38999938964844
2018-09-07,98.33000183105469
2018-08-06,92.95999908447266
2018-10-09,85.97000122070312
2019-02-14,87.1500015258789
2018-12-12,86.18000030517578
2019-07-24,95.7699966430664
2019-09-26,92.86000061035156
2019-10-28,88.05999755859375
2019-12-05,81.0999984741211
2020-05-11,71.83999633789062
2019-07-03,73.77999877929688
2020-02-25,76.30999755859375
2020-05-14,82.87999725341797
2020-02-28,86.58999633789062
2019-08-08,86.44999694824219
2019-06-05,83.48999786376953
2018-07-20,78.91000366210938
2018-08-21,77.58000183105469
2018-10-24,76.72000122070312
2019-04-02,79.77999877929688
2019-03-01,81.16000366210938
2019-01-28,83.87000274658203
2018-12-27,88.29000091552734
2019-09-09,86.5999984741211
2020-03-02,86.37999725341797
2020-05-20,85.5
2019-12-17,84.69999694824219
2020-03-05,86.97000122070312
2019-02-12,87.31999969482422
2019-01-11,82.83999633789062
2018-12-10,85.66999816894531
2019-08-23,85.19000244140625
2018-11-08,83.62000274658203
2019-07-22,84.38999938964844
2019-06-20,86.56999969482422
2018-09-05,85.80000305175781
2019-04-17,83.58000183105469
2019-09-24,82.66000366210938
2019-12-20,83.2699966430664
2020-05-26,84.63999938964844
2019-04-30,84.33000183105469
2019-12-23,80.66000366210938
2020-03-11,80.41999816894531
2020-05-29,79.94000244140625
2019-12-26,79.72000122070312
2020-06-01,77.8499984741211
2019-05-02,78.69999694824219
2019-02-27,78.45999908447266
2018-11-23,80.69999694824219
2019-08-06,79.37000274658203
2018-07-18,78.55999755859375
2018-09-20,77.81999969482422
2018-10-22,78.83999633789062
2019-07-05,80.77999877929688
2019-06-03,81.48999786376953
2019-10-09,85.62000274658203
2019-10-11,85.8499984741211
2020-03-17,86.45999908447266
2020-06-04,86.83999633789062
