Dates,LIN
2020-06-17,881600.0
2020-01-14,1681200.0
2020-04-02,1388200.0
2019-01-02,1003000.0
2019-08-14,1772000.0
2018-10-30,1115900.0
2019-06-11,1463700.0
2019-05-10,1234900.0
2019-04-08,1369500.0
2018-08-27,936700.0
2018-07-26,1418800.0
2018-09-28,1547400.0
2019-03-07,1074000.0
2019-10-30,847600.0
2020-01-17,1718600.0
2020-06-23,1230600.0
2020-04-08,1384500.0
2020-06-26,868700.0
2019-03-22,912300.0
2019-01-17,1038300.0
2019-08-29,1135900.0
2018-11-14,1159200.0
2019-06-26,1333000.0
2018-09-11,1527900.0
2018-07-09,1797200.0
2018-08-10,1433000.0
2019-04-23,1427300.0
2019-09-30,1205200.0
2020-01-23,3034100.0
2019-11-08,967400.0
2020-04-14,399900.0
2019-11-11,481000.0
2020-01-29,825500.0
2020-04-17,807500.0
2018-07-24,1040000.0
2018-09-26,2604100.0
2019-05-08,2899300.0
2019-03-05,2395300.0
2019-02-01,2589200.0
2018-12-31,1327300.0
2018-11-29,1086100.0
2019-08-12,1217600.0
2019-07-11,1225700.0
2019-09-13,2107300.0
2019-11-14,1078200.0
2020-04-20,1302600.0
2020-02-04,1903700.0
2020-04-23,1384500.0
2018-12-14,966900.0
2019-08-27,1400700.0
2018-08-08,1541600.0
2018-10-11,1947800.0
2018-11-12,1229400.0
2019-07-26,982700.0
2019-06-24,1381300.0
2019-05-23,1909700.0
2019-03-20,2912300.0
2019-01-15,2369400.0
2019-11-20,2970400.0
2020-02-07,2234200.0
2020-02-10,995300.0
2020-04-29,1435600.0
2019-11-26,1385500.0
2020-02-13,1238000.0
2019-01-30,2231800.0
2018-08-23,1280300.0
2018-09-24,1524700.0
2018-11-27,1590100.0
2018-10-26,1534700.0
2019-07-09,1660100.0
2019-06-07,2020400.0
2019-05-06,2743100.0
2019-04-04,2711200.0
2019-09-11,3685500.0
2019-11-29,5555300.0
2020-05-05,3489600.0
2019-12-02,4063300.0
2020-02-19,2755600.0
2020-05-08,3204300.0
2019-05-21,4466800.0
2019-03-18,4822700.0
2018-09-07,5604100.0
2018-08-06,4315300.0
2018-10-09,6340400.0
2019-02-14,6386900.0
2018-12-12,7079300.0
2019-07-24,4956600.0
2019-09-26,4723900.0
2019-10-28,4296100.0
2019-12-05,4699900.0
2020-05-11,4434000.0
2019-07-03,3423100.0
2020-02-25,3258400.0
2020-05-14,2726000.0
2020-02-28,2301600.0
2019-08-08,2480500.0
2019-06-05,3142300.0
2018-07-20,3822000.0
2018-08-21,3369800.0
2018-10-24,2665700.0
2019-04-02,3604000.0
2019-03-01,3097600.0
2019-01-28,2495400.0
2018-12-27,3206800.0
2019-09-09,2087700.0
2020-03-02,2372800.0
2020-05-20,2025500.0
2019-12-17,1806700.0
2020-03-05,2634400.0
2019-02-12,1598100.0
2019-01-11,2010000.0
2018-12-10,1376400.0
2019-08-23,1249900.0
2018-11-08,1187700.0
2019-07-22,1542000.0
2019-06-20,1896700.0
2018-09-05,1282300.0
2019-04-17,2104400.0
2019-09-24,1169200.0
2019-12-20,1828000.0
2020-05-26,1171900.0
2019-04-30,1336100.0
2019-12-23,2295100.0
2020-03-11,1843100.0
2020-05-29,1894700.0
2019-12-26,1741100.0
2020-06-01,1857300.0
2019-05-02,2442300.0
2019-02-27,2829400.0
2018-11-23,2105200.0
2019-08-06,1774400.0
2018-07-18,2300400.0
2018-09-20,1891600.0
2018-10-22,1676000.0
2019-07-05,2214300.0
2019-06-03,1603400.0
2019-10-09,1740200.0
2019-10-11,2354700.0
2020-03-17,1658300.0
2020-06-04,1675100.0
2019-10-14,2155300.0
2020-03-20,1951500.0
2018-11-06,3525600.0
2019-06-18,2970400.0
2019-05-17,2499400.0
2019-04-15,1750200.0
2019-03-14,2925000.0
2019-01-09,1711900.0
2018-08-02,2142100.0
2018-10-05,1878100.0
2019-08-21,1577400.0
2019-10-17,1563800.0
2020-03-23,4635000.0
2020-06-10,1510800.0
2019-02-25,2044300.0
2020-01-07,2068500.0
2020-03-26,1163300.0
2019-10-23,2794600.0
