Dates,LIN
2018-08-13,165.8300018310547
2018-10-16,164.24000549316406
2019-07-31,164.30999755859375
2019-05-28,161.17999267578125
2019-04-26,158.00999450683594
2020-04-28,154.25999450683594
2019-11-25,156.24000549316406
2020-02-12,156.7899932861328
2020-05-01,160.6699981689453
2020-05-04,159.7899932861328
2019-06-12,161.36000061035156
2019-04-09,159.85000610351562
2019-03-08,166.8800048828125
2019-02-04,164.1699981689453
2018-07-27,161.22999572753906
2018-08-28,165.0
2019-01-03,164.94000244140625
2019-08-15,165.49000549316406
2018-10-31,164.5
2019-09-16,165.47000122070312
2020-02-18,162.0
2020-05-07,159.83999633789062
2018-08-17,161.99000549316406
2019-12-04,165.52999877929688
2020-02-21,166.85000610351562
2018-12-17,165.3000030517578
2019-08-30,161.52000427246094
2018-11-15,159.22000122070312
2019-07-29,156.92999267578125
2019-06-27,153.36000061035156
2019-04-24,155.17999267578125
2018-07-10,158.0800018310547
2018-09-12,159.5
2019-02-19,157.8699951171875
2019-01-18,159.05999755859375
2020-02-24,156.19000244140625
2020-05-13,157.32000732421875
2019-12-10,152.5500030517578
2020-02-27,156.2899932861328
2019-12-13,159.30999755859375
2020-05-19,159.0500030517578
2019-03-06,164.35000610351562
2018-11-30,160.8300018310547
2019-08-13,155.97999572753906
2019-07-12,152.72000122070312
2019-06-10,156.91000366210938
2019-05-09,157.4600067138672
2018-07-25,160.5500030517578
2018-09-27,158.08999633789062
2018-10-29,156.92999267578125
2019-10-16,157.3300018310547
2019-12-16,157.61000061035156
2020-03-04,155.8300018310547
2020-05-22,154.0500030517578
2019-10-01,153.11000061035156
2019-12-19,148.1300048828125
2018-09-10,152.74000549316406
2019-05-24,156.41000366210938
2018-08-09,156.30999755859375
2019-04-22,156.0399932861328
2019-03-21,157.1999969482422
2019-01-16,152.2899932861328
2019-08-28,156.6300048828125
2018-11-13,156.49000549316406
2018-10-12,158.14999389648438
2019-06-25,158.4600067138672
2020-03-10,161.85000610351562
2020-05-28,160.2100067138672
2019-10-07,158.02000427246094
2020-03-13,157.22999572753906
2019-10-10,157.24000549316406
2020-03-16,157.25999450683594
2020-06-03,160.7899932861328
2018-11-28,160.83999633789062
2018-09-25,158.92999267578125
2018-07-23,157.3699951171875
2018-08-24,158.83999633789062
2019-07-10,158.2100067138672
2019-05-07,161.22000122070312
2019-04-05,162.9199981689453
2019-03-04,163.00999450683594
2019-01-31,165.75999450683594
2019-09-12,163.5
2019-12-31,164.99000549316406
2020-03-19,163.4199981689453
2020-01-03,160.69000244140625
2020-06-09,161.22000122070312
2019-02-15,161.35000610351562
2019-01-14,167.52999877929688
2018-07-06,167.3800048828125
2018-08-07,166.5
2018-10-10,168.5399932861328
2018-12-13,167.86000061035156
2019-08-26,170.3000030517578
2019-07-25,171.39999389648438
2019-05-22,173.5
2019-03-19,174.6199951171875
2020-01-06,173.91000366210938
2020-03-25,174.5
2020-06-12,173.24000549316406
2019-10-22,168.3800048828125
2020-01-09,168.6999969482422
2020-06-15,168.44000244140625
2019-10-25,169.1300048828125
2020-03-31,167.47000122070312
2020-06-18,169.4600067138672
2019-04-03,171.27999877929688
2018-08-22,172.32000732421875
2018-10-25,174.38999938964844
2019-01-29,174.2100067138672
2018-12-28,176.42999267578125
2018-11-26,174.5500030517578
2019-08-09,173.5800018310547
2019-07-08,176.6300048828125
2019-06-06,175.10000610351562
2019-09-10,169.86000061035156
2020-01-15,170.0
2020-04-03,170.97999572753906
2019-10-31,169.47999572753906
2020-04-06,173.6999969482422
2020-06-24,175.92999267578125
2018-11-09,176.5800018310547
2019-07-23,178.02000427246094
2019-06-21,182.74000549316406
2019-05-20,183.89999389648438
2019-04-18,184.6199951171875
2018-09-06,184.83999633789062
2018-10-08,182.89999389648438
2019-02-13,181.02000427246094
2018-12-11,179.85000610351562
2019-09-25,180.35000610351562
2020-01-21,180.13999938964844
2020-04-09,180.6199951171875
2019-11-06,179.91000366210938
2020-01-24,180.39999389648438
2020-01-27,178.89999389648438
2020-04-15,179.3300018310547
2018-12-26,177.6199951171875
2019-08-07,176.27999877929688
2019-06-04,178.25999450683594
2018-09-21,177.10000610351562
2018-07-19,180.25999450683594
