Dates,MCD
2019-12-09,215.91000366210938
2020-02-26,213.8699951171875
2020-05-15,215.0
2019-03-28,214.30999755859375
2018-09-17,212.77999877929688
2018-08-16,214.44000244140625
2018-10-19,215.5800018310547
2019-04-29,214.97999572753906
2019-01-23,212.33999633789062
2019-09-04,210.72000122070312
2018-11-20,211.25
2019-07-02,214.47999572753906
2019-05-31,210.4499969482422
2019-12-12,214.0800018310547
2020-05-18,216.8300018310547
2019-09-27,218.00999450683594
2020-03-03,221.14999389648438
2020-05-21,217.16000366210938
2019-05-14,219.72999572753906
2018-08-31,216.47999572753906
2018-07-30,218.27000427246094
2018-10-02,218.47000122070312
2019-04-12,218.77999877929688
2019-03-11,218.47000122070312
2019-02-07,220.7100067138672
2019-07-17,219.49000549316406
2019-09-19,214.66000366210938
2019-10-21,216.91000366210938
2019-12-18,216.0500030517578
2020-03-06,218.07000732421875
2019-10-03,220.5399932861328
2020-03-09,217.97000122070312
2020-05-27,217.1300048828125
2019-12-24,218.5
2020-03-12,219.49000549316406
2018-12-20,220.02999877929688
2019-08-01,217.25999450683594
2018-08-14,209.67999267578125
2018-07-13,210.1999969482422
2018-10-17,212.14999389648438
2019-05-29,209.80999755859375
2019-03-26,207.39999389648438
2019-02-22,209.85000610351562
2019-10-04,210.42999267578125
2019-11-05,210.52000427246094
2019-12-27,209.38999938964844
2020-06-02,211.5399932861328
2019-12-30,212.02000427246094
2020-03-18,212.6300048828125
2020-06-05,212.60000610351562
2019-07-15,213.16000366210938
2018-12-03,214.7100067138672
2019-06-13,209.02000427246094
2019-01-04,206.27000427246094
2018-08-29,210.02999877929688
2019-02-05,211.69000244140625
2018-11-01,211.9199981689453
2019-08-16,211.11000061035156
2019-04-10,212.8300018310547
2019-09-17,211.75999450683594
2019-10-15,209.02000427246094
2020-01-02,208.3800048828125
2020-06-08,207.22000122070312
2019-10-18,208.3000030517578
2020-03-24,206.85000610351562
2020-06-11,208.5
2020-01-08,209.85000610351562
2019-04-25,199.27000427246094
2019-07-30,199.2100067138672
2019-02-20,196.02000427246094
2018-07-11,194.61000061035156
2018-09-13,191.77999877929688
2018-10-15,192.6199951171875
2019-06-28,196.88999938964844
2018-12-18,196.6999969482422
2018-11-16,193.94000244140625
2019-10-02,188.66000366210938
2020-03-27,192.17999267578125
2020-01-10,194.17999267578125
2019-10-24,193.0800018310547
2020-03-30,193.61000061035156
2020-06-17,192.63999938964844
2020-01-14,193.27999877929688
2020-04-02,195.0
2019-01-02,194.0
2019-08-14,193.97000122070312
2018-10-30,194.27999877929688
2019-06-11,193.44000244140625
2019-05-10,194.1300048828125
2019-04-08,192.35000610351562
2018-08-27,193.13999938964844
2018-07-26,191.88999938964844
2018-09-28,194.00999450683594
2019-03-07,196.3000030517578
2019-10-30,194.47999572753906
2020-01-17,195.17999267578125
2020-06-23,193.1199951171875
2020-04-08,194.30999755859375
2020-06-26,194.2100067138672
2019-03-22,195.35000610351562
2019-01-17,194.67999267578125
2019-08-29,194.9499969482422
2018-11-14,194.72000122070312
2019-06-26,196.30999755859375
2018-09-11,197.1199951171875
2018-07-09,197.8800048828125
2018-08-10,196.52000427246094
2019-04-23,195.6300048828125
2019-09-30,197.05999755859375
2020-01-23,197.13999938964844
2019-11-08,196.1999969482422
2020-04-14,196.6699981689453
2019-11-11,197.05999755859375
2020-01-29,198.1699981689453
2020-04-17,196.91000366210938
2018-07-24,197.61000061035156
2018-09-26,200.7899932861328
2019-05-08,200.0800018310547
2019-03-05,202.3300018310547
2019-02-01,202.6300048828125
2018-12-31,205.91000366210938
2018-11-29,208.35000610351562
2019-08-12,207.27000427246094
2019-07-11,206.50999450683594
2019-09-13,207.32000732421875
2019-11-14,209.77000427246094
2020-04-20,210.85000610351562
2020-02-04,211.97999572753906
2020-04-23,211.16000366210938
2018-12-14,211.44000244140625
2019-08-27,213.4199981689453
2018-08-08,211.24000549316406
2018-10-11,209.33999633789062
2018-11-12,210.38999938964844
2019-07-26,214.44000244140625
2019-06-24,216.17999267578125
2019-05-23,213.97000122070312
2019-03-20,215.17999267578125
2019-01-15,214.6199951171875
2019-11-20,214.3699951171875
2020-02-07,212.8699951171875
2020-02-10,211.61000061035156
2020-04-29,213.2100067138672
2019-11-26,215.72999572753906
2020-02-13,217.4600067138672
2019-01-30,217.4199981689453
2018-08-23,217.08999633789062
2018-09-24,216.14999389648438
2018-11-27,215.6300048828125
2018-10-26,215.0800018310547
2019-07-09,215.8699951171875
2019-06-07,213.52000427246094
2019-05-06,212.10000610351562
2019-04-04,210.10000610351562
2019-09-11,201.0
2019-11-29,194.1699981689453
2020-05-05,202.5500030517578
2019-12-02,199.50999450683594
2020-02-19,207.02000427246094
2020-05-08,198.32000732421875
2019-05-21,198.86000061035156
2019-03-18,186.86000061035156
2018-09-07,199.86000061035156
2018-08-06,188.25
2018-10-09,170.1300048828125
2019-02-14,177.1300048828125
2018-12-12,149.00999450683594
2019-07-24,147.6199951171875
2019-09-26,137.3000030517578
2019-10-28,149.5
2019-12-05,148.49000549316406
2020-05-11,137.10000610351562
2019-07-03,161.9499969482422
2020-02-25,162.97999572753906
2020-05-14,167.35000610351562
2020-02-28,164.00999450683594
2019-08-08,168.1300048828125
2019-06-05,165.35000610351562
2018-07-20,158.1699981689453
2018-08-21,161.5
2018-10-24,160.3300018310547
2019-04-02,177.0399932861328
2019-03-01,175.58999633789062
2019-01-28,177.49000549316406
2018-12-27,183.6999969482422
