Dates,TXN
2018-11-15,93.06999969482422
2019-07-29,93.9000015258789
2019-06-27,94.04000091552734
2019-04-24,94.16999816894531
2018-07-10,96.1500015258789
2018-09-12,94.55000305175781
2019-02-19,92.91000366210938
2019-01-18,95.8499984741211
2020-02-24,95.08000183105469
2020-05-13,95.31999969482422
2019-12-10,95.38999938964844
2020-02-27,95.18000030517578
2019-12-13,97.33000183105469
2020-05-19,96.91999816894531
2019-03-06,100.44999694824219
2018-11-30,95.95999908447266
2019-08-13,93.68000030517578
2019-07-12,92.23999786376953
2019-06-10,91.97000122070312
2019-05-09,94.5
2018-07-25,95.5999984741211
2018-09-27,95.0999984741211
2018-10-29,94.2300033569336
2019-10-16,91.4800033569336
2019-12-16,92.72000122070312
2020-03-04,89.54000091552734
2020-05-22,89.19999694824219
2019-10-01,89.87000274658203
2019-12-19,87.76000213623047
2018-09-10,87.69999694824219
2019-05-24,90.55000305175781
2018-08-09,93.08000183105469
2019-04-22,93.72000122070312
2019-03-21,92.45999908447266
2019-01-16,88.68000030517578
2019-08-28,89.47000122070312
2018-11-13,92.36000061035156
2018-10-12,93.02999877929688
2019-06-25,94.72000122070312
2020-03-10,95.47000122070312
2020-05-28,96.80999755859375
2019-10-07,95.98999786376953
2020-03-13,96.63999938964844
2019-10-10,97.02999877929688
2020-03-16,95.8499984741211
2020-06-03,97.94000244140625
2018-11-28,95.81999969482422
2018-09-25,94.80999755859375
2018-07-23,97.80000305175781
2018-08-24,102.72000122070312
2019-07-10,101.76000213623047
2019-05-07,101.30999755859375
2019-04-05,100.18000030517578
2019-03-04,100.16999816894531
2019-01-31,100.26000213623047
2019-09-12,101.06999969482422
2019-12-31,100.9800033569336
2020-03-19,104.05000305175781
2020-01-03,103.13999938964844
2020-06-09,102.13999938964844
2019-02-15,104.25
2019-01-14,105.75
2018-07-06,106.66000366210938
2018-08-07,106.43000030517578
2018-10-10,106.69000244140625
2018-12-13,106.61000061035156
2019-08-26,107.23999786376953
2019-07-25,106.19999694824219
2019-05-22,106.6500015258789
2019-03-19,107.83000183105469
2020-01-06,106.83000183105469
2020-03-25,104.70999908447266
2020-06-12,104.80999755859375
2019-10-22,105.77999877929688
2020-01-09,106.0
2020-06-15,106.5199966430664
2019-10-25,105.26000213623047
2020-03-31,103.68000030517578
2020-06-18,103.3499984741211
2019-04-03,105.0
2018-08-22,105.76000213623047
2018-10-25,106.66000366210938
2019-01-29,105.97000122070312
2018-12-28,107.98999786376953
2018-11-26,108.91999816894531
2019-08-09,109.55000305175781
2019-07-08,109.02999877929688
2019-06-06,109.94999694824219
2019-09-10,109.52999877929688
2020-01-15,106.26000213623047
2020-04-03,107.38999938964844
2019-10-31,105.44999694824219
2020-04-06,103.62999725341797
2020-06-24,105.36000061035156
2018-11-09,106.93000030517578
2019-07-23,108.18000030517578
2019-06-21,111.4000015258789
2019-05-20,112.36000061035156
2019-04-18,113.30999755859375
2018-09-06,113.31999969482422
2018-10-08,113.25
2019-02-13,113.54000091552734
2018-12-11,114.12999725341797
2019-09-25,115.77999877929688
2020-01-21,114.0199966430664
2020-04-09,115.62999725341797
2019-11-06,114.91000366210938
2020-01-24,115.12999725341797
2020-01-27,113.6500015258789
2020-04-15,114.5199966430664
2018-12-26,114.8499984741211
2019-08-07,115.6500015258789
2019-06-04,115.30999755859375
2018-09-21,116.0
2018-07-19,116.66000366210938
2018-08-20,116.19999694824219
2018-10-23,116.27999877929688
2019-05-03,116.11000061035156
2019-04-01,113.5
2019-02-28,112.25
2019-11-12,112.4800033569336
2020-01-30,110.19999694824219
2019-11-15,109.36000061035156
2020-04-21,106.7300033569336
2019-04-16,107.87999725341797
2019-03-15,107.70999908447266
2019-02-11,108.0999984741211
2019-01-10,106.11000061035156
2019-08-22,103.08999633789062
2018-11-07,106.2699966430664
2018-08-03,106.4000015258789
2018-09-04,104.3499984741211
2019-06-19,104.91999816894531
2019-09-23,103.1500015258789
2019-11-18,101.56999969482422
2020-02-05,104.12999725341797
2020-04-24,104.0
2019-03-29,104.58999633789062
2019-11-21,106.3499984741211
2020-04-27,107.77999877929688
2020-02-11,108.79000091552734
2020-04-30,110.58999633789062
2019-05-01,111.0
2019-02-26,111.97000122070312
2019-01-25,109.9800033569336
2018-12-24,110.31999969482422
2019-09-06,106.80000305175781
2018-07-17,106.55000305175781
2018-09-19,107.58000183105469
2019-08-05,110.69000244140625
2019-10-08,111.70999908447266
2019-12-11,111.66000366210938
2019-11-27,111.81999969482422
2020-02-14,111.33999633789062
2020-05-06,112.7699966430664
2019-01-08,115.0199966430664
2018-12-07,114.5
2019-08-20,116.23999786376953
2018-11-05,115.11000061035156
2019-07-19,114.91999816894531
2018-10-04,114.37000274658203
2019-06-17,114.68000030517578
2019-05-16,114.38999938964844
2018-08-01,116.19000244140625
2019-03-13,115.88999938964844
2019-12-03,116.66000366210938
2020-02-20,118.48999786376953
2019-12-06,117.54000091552734
2020-05-12,116.76000213623047
2019-12-09,117.01000213623047
2020-02-26,117.04000091552734
2020-05-15,117.56999969482422
2019-03-28,118.55000305175781
2018-09-17,125.95999908447266
2018-08-16,126.56999969482422
2018-10-19,127.30999755859375
2019-04-29,127.93000030517578
2019-01-23,127.48999786376953
2019-09-04,123.04000091552734
2018-11-20,123.2300033569336
2019-07-02,121.06999969482422
2019-05-31,116.22000122070312
2019-12-12,117.02999877929688
2020-05-18,117.05000305175781
2019-09-27,121.37999725341797
2020-03-03,120.5999984741211
2020-05-21,119.47000122070312
2019-05-14,119.27999877929688
2018-08-31,120.16000366210938
2018-07-30,118.7300033569336
2018-10-02,119.8499984741211
2019-04-12,124.01000213623047
2019-03-11,123.41000366210938
2019-02-07,124.69999694824219
2019-07-17,124.19000244140625
2019-09-19,119.83999633789062
2019-10-21,120.51000213623047
2019-12-18,121.52999877929688
2020-03-06,120.52999877929688
2019-10-03,123.38999938964844
2020-03-09,123.44000244140625
2020-05-27,120.66999816894531
2019-12-24,123.8499984741211
2020-03-12,126.1500015258789
