Dates,FDX
2018-11-01,1778800.0
2019-08-16,2382600.0
2019-04-10,2212800.0
2019-09-17,1751500.0
2019-10-15,3947900.0
2020-01-02,2388200.0
2020-06-08,3187300.0
2019-10-18,3425100.0
2020-03-24,2585400.0
2020-06-11,2789600.0
2020-01-08,3459700.0
2019-04-25,2975000.0
2019-07-30,2174800.0
2019-02-20,1712600.0
2018-07-11,2080600.0
2018-09-13,2597000.0
2018-10-15,1464100.0
2019-06-28,1576200.0
2018-12-18,2110500.0
2018-11-16,2129400.0
2019-10-02,4303600.0
2020-03-27,2510000.0
2020-01-10,1767300.0
2019-10-24,1978200.0
2020-03-30,1152500.0
2020-06-17,1063400.0
2020-01-14,1279900.0
2020-04-02,2211900.0
2019-01-02,1826200.0
2019-08-14,1596800.0
2018-10-30,1794200.0
2019-06-11,1524300.0
2019-05-10,2476200.0
2019-04-08,1595400.0
2018-08-27,2226800.0
2018-07-26,2505800.0
2018-09-28,2769200.0
2019-03-07,1645900.0
2019-10-30,789400.0
2020-01-17,2704500.0
2020-06-23,3766100.0
2020-04-08,2300800.0
2020-06-26,1628200.0
2019-03-22,2436200.0
2019-01-17,1728200.0
2019-08-29,1633600.0
2018-11-14,1676000.0
2019-06-26,2987300.0
2018-09-11,2897200.0
2018-07-09,5052100.0
2018-08-10,5926900.0
2019-04-23,21540900.0
2019-09-30,5826300.0
2020-01-23,5260300.0
2019-11-08,4367700.0
2020-04-14,1797200.0
2019-11-11,2651300.0
2020-01-29,2693000.0
2020-04-17,2612600.0
2018-07-24,2153400.0
2018-09-26,3027600.0
2019-05-08,2216500.0
2019-03-05,2389700.0
2019-02-01,2140100.0
2018-12-31,3053200.0
2018-11-29,2240200.0
2019-08-12,2449600.0
2019-07-11,1985300.0
2019-09-13,5076600.0
2019-11-14,2971800.0
2020-04-20,2343700.0
2020-02-04,1846100.0
2020-04-23,2460400.0
2018-12-14,1911100.0
2019-08-27,2059100.0
2018-08-08,1973600.0
2018-10-11,3368400.0
2018-11-12,2190000.0
2019-07-26,2521600.0
2019-06-24,3380200.0
2019-05-23,3286200.0
2019-03-20,1988400.0
2019-01-15,2573700.0
2019-11-20,2013700.0
2020-02-07,1706800.0
2020-02-10,6532600.0
2020-04-29,3948600.0
2019-11-26,2016800.0
2020-02-13,1607500.0
2019-01-30,2624400.0
2018-08-23,1679000.0
2018-09-24,1924000.0
2018-11-27,1699300.0
2018-10-26,2602500.0
2019-07-09,1645300.0
2019-06-07,3116300.0
2019-05-06,4223800.0
2019-04-04,2766300.0
2019-09-11,3534400.0
2019-11-29,4395600.0
2020-05-05,4418600.0
2019-12-02,4373300.0
2020-02-19,2854700.0
2020-05-08,3150000.0
2019-05-21,3886300.0
2019-03-18,4048100.0
2018-09-07,3564900.0
2018-08-06,4746400.0
2018-10-09,5156500.0
2019-02-14,4275000.0
2018-12-12,4417400.0
2019-07-24,5548700.0
2019-09-26,6997700.0
2019-10-28,4646900.0
2019-12-05,4479200.0
2020-05-11,3933900.0
2019-07-03,3014400.0
2020-02-25,4133200.0
2020-05-14,2713900.0
2020-02-28,2619400.0
2019-08-08,2281000.0
2019-06-05,2643800.0
2018-07-20,2569600.0
2018-08-21,2336100.0
2018-10-24,3205200.0
2019-04-02,3512600.0
2019-03-01,3189300.0
2019-01-28,5576500.0
2018-12-27,4750500.0
2019-09-09,2821800.0
2020-03-02,3084200.0
2020-05-20,2945000.0
2019-12-17,2238700.0
2020-03-05,2464000.0
2019-02-12,2242000.0
2019-01-11,1605600.0
2018-12-10,2085800.0
2019-08-23,2021100.0
2018-11-08,2111600.0
2019-07-22,2395900.0
2019-06-20,2738700.0
2018-09-05,2172500.0
2019-04-17,1969700.0
2019-09-24,3141800.0
2019-12-20,2410400.0
2020-05-26,1703100.0
2019-04-30,1917100.0
2019-12-23,1842100.0
2020-03-11,1771700.0
2020-05-29,1863500.0
2019-12-26,1979400.0
2020-06-01,2905900.0
2019-05-02,3254700.0
2019-02-27,2940000.0
2018-11-23,3603900.0
2019-08-06,2484600.0
2018-07-18,2604100.0
2018-09-20,1740300.0
2018-10-22,2245900.0
2019-07-05,3823000.0
2019-06-03,3203000.0
2019-10-09,3238000.0
2019-10-11,3410100.0
2020-03-17,1990300.0
2020-06-04,2522000.0
2019-10-14,2728800.0
2020-03-20,2001300.0
2018-11-06,3583900.0
2019-06-18,2709900.0
2019-05-17,2253100.0
2019-04-15,2079600.0
2019-03-14,4389300.0
2019-01-09,2271700.0
2018-08-02,1835300.0
2018-10-05,1651800.0
2019-08-21,1214400.0
2019-10-17,2416200.0
2020-03-23,2828500.0
2020-06-10,1448100.0
2019-02-25,1385200.0
2020-01-07,2357300.0
2020-03-26,2310900.0
2019-10-23,3282000.0
