Dates,STE
2018-11-15,120.31999969482422
2019-07-29,121.0
2019-06-27,119.48999786376953
2019-04-24,115.68000030517578
2018-07-10,117.76000213623047
2018-09-12,118.37000274658203
2019-02-19,115.30999755859375
2019-01-18,112.94000244140625
2020-02-24,112.37000274658203
2020-05-13,114.73999786376953
2019-12-10,113.5
2020-02-27,115.38999938964844
2019-12-13,118.27999877929688
2020-05-19,119.69999694824219
2019-03-06,119.66000366210938
2018-11-30,120.45999908447266
2019-08-13,118.2699966430664
2019-07-12,117.26000213623047
2019-06-10,114.05000305175781
2019-05-09,116.45999908447266
2018-07-25,116.20999908447266
2018-09-27,117.62000274658203
2018-10-29,113.80000305175781
2019-10-16,112.33000183105469
2019-12-16,111.6500015258789
2020-03-04,109.61000061035156
2020-05-22,107.94000244140625
2019-10-01,105.02999877929688
2019-12-19,102.18000030517578
2018-09-10,99.77999877929688
2019-05-24,102.05999755859375
2018-08-09,104.70999908447266
2019-04-22,105.9000015258789
2019-03-21,105.6500015258789
2019-01-16,103.66000366210938
2019-08-28,102.37999725341797
2018-11-13,103.55000305175781
2018-10-12,104.9800033569336
2019-06-25,107.54000091552734
2020-03-10,107.33999633789062
2020-05-28,108.58999633789062
2019-10-07,109.29000091552734
2020-03-13,108.2300033569336
2019-10-10,110.19000244140625
2020-03-16,110.51000213623047
2020-06-03,113.54000091552734
2018-11-28,112.05999755859375
2018-09-25,113.04000091552734
2018-07-23,113.6500015258789
2018-08-24,114.7699966430664
2019-07-10,115.27999877929688
2019-05-07,115.0
2019-04-05,114.4800033569336
2019-03-04,113.69000244140625
2019-01-31,114.13999938964844
2019-09-12,114.2300033569336
2019-12-31,115.94999694824219
2020-03-19,117.91999816894531
2020-01-03,118.19999694824219
2020-06-09,118.47000122070312
2019-02-15,119.02999877929688
2019-01-14,121.16999816894531
2018-07-06,120.54000091552734
2018-08-07,119.45999908447266
2018-10-10,121.81999969482422
2018-12-13,122.0
2019-08-26,122.1500015258789
2019-07-25,122.54000091552734
2019-05-22,122.30000305175781
2019-03-19,123.0
2020-01-06,121.51000213623047
2020-03-25,120.45999908447266
2020-06-12,120.36000061035156
2019-10-22,121.97000122070312
2020-01-09,122.83999633789062
2020-06-15,121.86000061035156
2019-10-25,121.31999969482422
2020-03-31,120.05999755859375
2020-06-18,118.93000030517578
2019-04-03,119.51000213623047
2018-08-22,121.08000183105469
2018-10-25,122.69000244140625
2019-01-29,122.7300033569336
2018-12-28,124.0
2018-11-26,123.55999755859375
2019-08-09,123.5
2019-07-08,122.30000305175781
2019-06-06,122.87999725341797
2019-09-10,124.54000091552734
2020-01-15,122.58000183105469
2020-04-03,123.54000091552734
2019-10-31,123.36000061035156
2020-04-06,125.12999725341797
2020-06-24,127.45999908447266
2018-11-09,128.35000610351562
2019-07-23,127.69000244140625
2019-06-21,127.20999908447266
2019-05-20,126.2300033569336
2019-04-18,126.02999877929688
2018-09-06,125.58999633789062
2018-10-08,125.52999877929688
2019-02-13,126.04000091552734
2018-12-11,126.72000122070312
2019-09-25,128.49000549316406
2020-01-21,128.97000122070312
2020-04-09,129.6999969482422
2019-11-06,126.02999877929688
2020-01-24,121.12000274658203
2020-01-27,122.23999786376953
2020-04-15,123.6500015258789
2018-12-26,125.51000213623047
2019-08-07,126.91999816894531
2019-06-04,127.98999786376953
2018-09-21,129.44000244140625
2018-07-19,130.75
2018-08-20,131.5800018310547
2018-10-23,131.00999450683594
2019-05-03,133.0
2019-04-01,131.55999755859375
2019-02-28,132.92999267578125
2019-11-12,131.02999877929688
2020-01-30,129.41000366210938
2019-11-15,129.6699981689453
2020-04-21,126.73999786376953
2019-04-16,127.05000305175781
2019-03-15,130.8000030517578
2019-02-11,132.1999969482422
2019-01-10,132.39999389648438
2019-08-22,132.97999572753906
2018-11-07,134.8000030517578
2018-08-03,136.38999938964844
2018-09-04,135.2100067138672
2019-06-19,135.60000610351562
2019-09-23,135.49000549316406
2019-11-18,132.67999267578125
2020-02-05,133.33999633789062
2020-04-24,131.77000427246094
2019-03-29,133.88999938964844
2019-11-21,135.0
2020-04-27,136.39999389648438
2020-02-11,136.97999572753906
2020-04-30,137.63999938964844
2019-05-01,138.52000427246094
2019-02-26,141.27999877929688
2019-01-25,140.49000549316406
2018-12-24,142.75
2019-09-06,142.08999633789062
2018-07-17,140.44000244140625
2018-09-19,143.47000122070312
2019-08-05,142.6199951171875
2019-10-08,146.50999450683594
2019-12-11,144.2899932861328
2019-11-27,144.9199981689453
2020-02-14,145.63999938964844
2020-05-06,146.19000244140625
2019-01-08,146.08999633789062
2018-12-07,146.63999938964844
2019-08-20,149.97999572753906
2018-11-05,149.72999572753906
2019-07-19,151.5399932861328
2018-10-04,152.42999267578125
2019-06-17,152.33999633789062
