Dates,ABMD
2018-09-14,431.0
2018-08-13,424.9700012207031
2018-10-16,430.92999267578125
2019-07-31,415.54998779296875
2019-05-28,408.8699951171875
2019-04-26,396.989990234375
2020-04-28,383.8800048828125
2019-11-25,396.19000244140625
2020-02-12,387.9700012207031
2020-05-01,388.1099853515625
2020-05-04,391.57000732421875
2019-06-12,389.9599914550781
2019-04-09,391.70001220703125
2019-03-08,368.69000244140625
2019-02-04,373.8500061035156
2018-07-27,376.79998779296875
2018-08-28,352.0
2019-01-03,337.5199890136719
2019-08-15,339.69000244140625
2018-10-31,333.6700134277344
2019-09-16,352.4599914550781
2020-02-18,378.3699951171875
2020-05-07,399.8800048828125
2018-08-17,395.239990234375
2019-12-04,399.5799865722656
2020-02-21,427.70001220703125
2018-12-17,420.17999267578125
2019-08-30,413.32000732421875
2018-11-15,388.989990234375
2019-07-29,351.739990234375
2019-06-27,335.1600036621094
2019-04-24,324.2699890136719
2018-07-10,332.1499938964844
2018-09-12,316.32000732421875
2019-02-19,307.9200134277344
2019-01-18,315.1400146484375
2020-02-24,305.70001220703125
2020-05-13,312.2699890136719
2019-12-10,318.5199890136719
2020-02-27,335.989990234375
2019-12-13,335.4200134277344
2020-05-19,335.9800109863281
2019-03-06,344.989990234375
2018-11-30,343.20001220703125
2019-08-13,333.260009765625
2019-07-12,333.0
2019-06-10,326.7900085449219
2019-05-09,330.79998779296875
2018-07-25,341.0899963378906
2018-09-27,338.2099914550781
2018-10-29,323.92999267578125
2019-10-16,312.57000732421875
2019-12-16,306.75
2020-03-04,314.6600036621094
2020-05-22,303.2099914550781
2019-10-01,294.0400085449219
2019-12-19,286.760009765625
2018-09-10,307.80999755859375
2019-05-24,315.9100036621094
2018-08-09,324.7799987792969
2019-04-22,329.9100036621094
2019-03-21,320.7099914550781
2019-01-16,311.739990234375
2019-08-28,321.4800109863281
2018-11-13,315.5
2018-10-12,323.1000061035156
2019-06-25,342.9700012207031
2020-03-10,340.8699951171875
2020-05-28,334.20001220703125
2019-10-07,322.0
2020-03-13,327.57000732421875
2019-10-10,332.92999267578125
2020-03-16,332.94000244140625
2020-06-03,337.1600036621094
2018-11-28,339.6700134277344
2018-09-25,344.9700012207031
2018-07-23,349.3399963378906
2018-08-24,353.9200134277344
2019-07-10,350.0
2019-05-07,339.54998779296875
2019-04-05,339.9100036621094
2019-03-04,362.6700134277344
2019-01-31,351.45001220703125
2019-09-12,352.44000244140625
2019-12-31,350.489990234375
2020-03-19,350.0
2020-01-03,344.0199890136719
2020-06-09,341.5199890136719
2019-02-15,356.29998779296875
2019-01-14,361.760009765625
2018-07-06,364.1499938964844
2018-08-07,361.0199890136719
2018-10-10,362.3299865722656
2018-12-13,364.30999755859375
2019-08-26,362.2900085449219
2019-07-25,362.0199890136719
2019-05-22,360.8800048828125
2019-03-19,357.0
2020-01-06,352.0
2020-03-25,345.0
2020-06-12,339.75
2019-10-22,351.5799865722656
2020-01-09,352.8699951171875
2020-06-15,337.4800109863281
2019-10-25,336.17999267578125
2020-03-31,320.3900146484375
2020-06-18,314.92999267578125
2019-04-03,320.6000061035156
2018-08-22,324.239990234375
2018-10-25,329.5400085449219
2019-01-29,326.7699890136719
2018-12-28,335.0199890136719
2018-11-26,336.0
2019-08-09,339.95001220703125
2019-07-08,344.69000244140625
2019-06-06,348.2799987792969
2019-09-10,337.3900146484375
2020-01-15,322.1400146484375
2020-04-03,316.010009765625
2019-10-31,289.05999755859375
2020-04-06,286.8999938964844
2020-06-24,291.989990234375
2018-11-09,293.44000244140625
2019-07-23,284.9800109863281
2019-06-21,288.4700012207031
2019-05-20,286.9100036621094
2019-04-18,288.0899963378906
2018-09-06,286.5
2018-10-08,284.4100036621094
2019-02-13,282.7699890136719
2018-12-11,280.489990234375
2019-09-25,273.0
2020-01-21,276.7900085449219
2020-04-09,275.5199890136719
2019-11-06,267.8599853515625
2020-01-24,257.07000732421875
2020-01-27,263.7900085449219
2020-04-15,263.95001220703125
2018-12-26,276.7699890136719
2019-08-07,278.4700012207031
2019-06-04,276.9599914550781
2018-09-21,277.0
2018-07-19,279.20001220703125
2018-08-20,281.75
2018-10-23,280.0
2019-05-03,273.3500061035156
2019-04-01,273.1400146484375
2019-02-28,268.7200012207031
