Dates,AMAT
2019-08-22,39.54399108886719
2018-11-07,40.44561767578125
2018-08-03,39.88414764404297
2018-09-04,39.34236526489258
2019-06-19,38.90895462036133
2019-09-23,38.426292419433594
2019-11-18,38.7808952331543
2020-02-05,39.155216217041016
2020-04-24,38.11107635498047
2019-03-29,38.19972610473633
2019-11-21,39.815185546875
2020-04-27,39.98264694213867
2020-02-11,40.76082992553711
2020-04-30,40.888877868652344
2019-05-01,42.49448776245117
2019-02-26,43.09536361694336
2019-01-25,40.8790283203125
2018-12-24,41.02678680419922
2019-09-06,40.61307144165039
2018-07-17,39.89399719238281
2018-09-19,41.676910400390625
2019-08-05,41.89361572265625
2019-10-08,42.56344223022461
2019-12-11,42.31718063354492
2019-11-27,41.69660949707031
2020-02-14,41.35184860229492
2020-05-06,42.92790603637695
2019-01-08,44.02129364013672
2018-12-07,44.238006591796875
2019-08-20,44.996482849121094
2018-11-05,43.99174499511719
2019-07-19,44.0015983581543
2018-10-04,43.32191848754883
2019-06-17,42.79985046386719
2019-05-16,43.31207275390625
2018-08-01,44.05084991455078
2019-03-13,44.60247039794922
2019-12-03,45.81406021118164
2020-02-20,45.58750534057617
2019-12-06,45.3215446472168
2020-05-12,45.528404235839844
2019-12-09,47.449222564697266
2020-02-26,47.09461212158203
2020-05-15,49.97092056274414
2019-03-28,50.26642990112305
2018-09-17,51.35982131958008
2018-08-16,50.0595703125
2018-10-19,49.980770111083984
2019-04-29,49.91181945800781
2019-01-23,49.97092056274414
2019-09-04,48.63126754760742
2018-11-20,47.7447395324707
2019-07-02,46.8385009765625
2019-05-31,44.7797737121582
2019-12-12,45.636756896972656
2020-05-18,45.98151779174805
2019-09-27,47.143863677978516
2020-03-03,46.444488525390625
2020-05-21,45.76481246948242
2019-05-14,47.34086990356445
2018-08-31,46.011070251464844
2018-07-30,46.45433807373047
2018-10-02,45.93227005004883
2019-04-12,46.39523696899414
2019-03-11,46.0307731628418
2019-02-07,46.3375129699707
2019-07-17,46.53540802001953
2019-09-19,44.64549255371094
2019-10-21,45.130340576171875
2019-12-18,45.03139114379883
2020-03-06,45.417293548583984
2019-10-03,46.81246566772461
2020-03-09,47.51499938964844
2020-05-27,47.109310150146484
2019-12-24,48.98932647705078
2020-03-12,49.820491790771484
2018-12-20,49.5731201171875
2019-08-01,50.127235412597656
2018-08-14,49.662174224853516
2018-07-13,51.01776885986328
2018-10-17,50.711029052734375
2019-05-29,50.809974670410156
2019-03-26,50.384498596191406
2019-02-22,50.661556243896484
2019-10-04,51.542198181152344
2019-11-05,51.136505126953125
2019-12-27,50.42407989501953
2020-06-02,51.21566390991211
2019-12-30,50.62197494506836
2020-03-18,51.38387680053711
2020-06-05,51.601566314697266
2019-07-15,48.9101676940918
2018-12-03,49.37522888183594
2019-06-13,49.49396514892578
2019-01-04,48.93985366821289
2018-08-29,49.117958068847656
2019-02-05,50.34492111206055
2018-11-01,50.117340087890625
2019-08-16,48.79143142700195
2019-04-10,50.30533981323242
2019-09-17,50.473548889160156
2019-10-15,51.205772399902344
2020-01-02,51.39377212524414
2020-06-08,52.353572845458984
2019-10-18,51.01776885986328
2020-03-24,51.59166717529297
2020-06-11,51.136505126953125
2020-01-08,52.08641052246094
2019-04-25,51.433349609375
2019-07-30,49.998600006103516
2019-02-20,54.4908561706543
2018-07-11,55.13402557373047
2018-09-13,56.3510856628418
2018-10-15,54.93612289428711
2019-06-28,54.62937927246094
2018-12-18,53.68937683105469
2018-11-16,54.87675476074219
2019-10-02,55.153812408447266
2020-03-27,55.292335510253906
2020-01-10,55.232967376708984
2019-10-24,55.35170364379883
2020-03-30,55.440757751464844
2020-06-17,55.994873046875
2020-01-14,55.826656341552734
2020-04-02,56.5192985534668
2019-01-02,56.36098098754883
2019-08-14,61.407344818115234
2018-10-30,61.694297790527344
2019-06-11,60.29912185668945
2019-05-10,59.226783752441406
2019-04-08,56.03955841064453
2018-08-27,55.54310607910156
2018-07-26,57.86650085449219
2018-09-28,57.16154098510742
2019-03-07,57.876434326171875
2019-10-30,57.489200592041016
2020-01-17,56.29771423339844
2020-06-23,54.94736099243164
2020-04-08,55.69204330444336
2020-06-26,55.443817138671875
2019-03-22,56.19842529296875
2019-01-17,56.19842529296875
2019-08-29,56.21828079223633
2018-11-14,58.62111282348633
2019-06-26,59.93174743652344
2018-09-11,59.445220947265625
2018-07-09,59.534584045410156
2018-08-10,60.35869598388672
2019-04-23,59.95160675048828
2019-09-30,60.23954391479492
2020-01-23,61.3714599609375
2019-11-08,60.64664077758789
2020-04-14,61.06365966796875
2019-11-11,60.87500762939453
2020-01-29,60.73599624633789
2020-04-17,60.497703552246094
2018-07-24,60.60692596435547
2018-09-26,61.75869369506836
2019-05-08,60.775718688964844
2019-03-05,59.465084075927734
2019-02-01,61.18280792236328
2018-12-31,61.14309310913086
2018-11-29,61.53032684326172
2019-08-12,61.033870697021484
2019-07-11,61.3714599609375
2019-09-13,61.90762710571289
2019-11-14,61.49060821533203
2020-04-20,62.76152801513672
2020-02-04,62.40407943725586
2020-04-23,62.7515983581543
2018-12-14,63.436702728271484
2019-08-27,63.436702728271484
2018-08-08,61.56011199951172
2018-10-11,58.631038665771484
2018-11-12,59.7629508972168
2019-07-26,59.39557647705078
2019-06-24,59.82252883911133
2019-05-23,57.57856369018555
2019-03-20,59.29629135131836
2019-01-15,62.56294250488281
2019-11-20,63.34733963012695
2020-02-07,62.741668701171875
2020-02-10,61.27216720581055
2020-04-29,62.47357940673828
2019-11-26,63.99272537231445
2020-02-13,64.90620422363281
2019-01-30,66.89201354980469
2018-08-23,66.37570190429688
2018-09-24,64.90157318115234
2018-11-27,67.14264678955078
2018-10-26,66.13665008544922
2019-07-09,64.01509857177734
2019-06-07,60.83775329589844
2019-05-06,58.626556396484375
2019-04-04,59.57278823852539
2019-09-11,56.77393341064453
2019-11-29,57.889488220214844
2020-05-05,59.9213981628418
2019-12-02,57.809810638427734
2020-02-19,60.279972076416016
2020-05-08,58.895484924316406
2019-05-21,57.56079864501953
2019-03-18,51.86348342895508
2018-09-07,55.94722366333008
2018-08-06,52.281822204589844
2018-10-09,44.93109130859375
2019-02-14,50.68816375732422
2018-12-12,40.3692512512207
2019-07-24,44.68208312988281
2019-09-26,39.02460861206055
2019-10-28,40.030601501464844
2019-12-05,37.83932876586914
2020-05-11,40.01068115234375
2019-07-03,44.96097183227539
2020-02-25,44.55259704589844
2020-05-14,49.00486755371094
2020-02-28,44.8713264465332
2019-08-08,47.112403869628906
2019-06-05,45.638275146484375
2018-07-20,43.12826919555664
2018-08-21,43.06850814819336
2018-10-24,42.11231231689453
2019-04-02,45.96696472167969
2019-03-01,47.37137222290039
2019-01-28,51.25590515136719
2018-12-27,49.3933219909668
2019-09-09,49.68217086791992
2020-03-02,52.26190185546875
2020-05-20,50.17022705078125
2019-12-17,52.022850036621094
2020-03-05,52.98900604248047
2019-02-12,50.42919921875
2019-01-11,48.13832092285156
2018-12-10,51.90332794189453
2019-08-23,50.69812774658203
2018-11-08,51.53479766845703
2019-07-22,50.82761001586914
2019-06-20,50.220027923583984
2018-09-05,54.124481201171875
2019-04-17,49.48296356201172
2019-09-24,46.70402908325195
2019-12-20,47.39129638671875
2020-05-26,48.656253814697266
2019-04-30,50.299713134765625
2019-12-23,51.04673767089844
2020-03-11,53.59658432006836
2020-05-29,53.7957878112793
2019-12-26,52.12245559692383
2020-06-01,51.28578567504883
2019-05-02,54.21412658691406
2019-02-27,51.8336067199707
2018-11-23,54.144405364990234
2019-08-06,55.250003814697266
2018-07-18,56.880001068115234
2018-09-20,55.02000045776367
2018-10-22,54.38999938964844
2019-07-05,55.13999938964844
2019-06-03,56.400001525878906
2019-10-09,54.66999816894531
2019-10-11,56.18000030517578
2020-03-17,55.689998626708984
2020-06-04,55.790000915527344
