Dates,ADM
2019-06-28,41.33000183105469
2018-12-18,42.16999816894531
2018-11-16,42.45000076293945
2019-10-02,43.33000183105469
2020-03-27,43.54999923706055
2020-01-10,43.16999816894531
2019-10-24,43.779998779296875
2020-03-30,43.34000015258789
2020-06-17,43.599998474121094
2020-01-14,43.599998474121094
2020-04-02,43.189998626708984
2019-01-02,43.11000061035156
2019-08-14,43.220001220703125
2018-10-30,42.849998474121094
2019-06-11,43.220001220703125
2019-05-10,42.970001220703125
2019-04-08,42.83000183105469
2018-08-27,42.970001220703125
2018-07-26,43.130001068115234
2018-09-28,43.040000915527344
2019-03-07,43.040000915527344
2019-10-30,43.04999923706055
2020-01-17,43.31999969482422
2020-06-23,42.97999954223633
2020-04-08,43.27000045776367
2020-06-26,43.20000076293945
2019-03-22,44.0099983215332
2019-01-17,44.349998474121094
2019-08-29,44.220001220703125
2018-11-14,44.33000183105469
2019-06-26,45.04999923706055
2018-09-11,45.5
2018-07-09,46.22999954223633
2018-08-10,47.20000076293945
2019-04-23,46.150001525878906
2019-09-30,45.650001525878906
2020-01-23,46.59000015258789
2019-11-08,46.04999923706055
2020-04-14,46.27000045776367
2019-11-11,46.380001068115234
2020-01-29,46.400001525878906
2020-04-17,46.459999084472656
2018-07-24,46.380001068115234
2018-09-26,46.63999938964844
2019-05-08,46.189998626708984
2019-03-05,45.849998474121094
2019-02-01,45.689998626708984
2018-12-31,45.22999954223633
2018-11-29,44.33000183105469
2019-08-12,44.459999084472656
2019-07-11,44.47999954223633
2019-09-13,44.63999938964844
2019-11-14,44.84000015258789
2020-04-20,45.459999084472656
2020-02-04,45.54999923706055
2020-04-23,45.38999938964844
2018-12-14,45.310001373291016
2019-08-27,45.040000915527344
2018-08-08,45.060001373291016
2018-10-11,43.900001525878906
2018-11-12,44.11000061035156
2019-07-26,44.099998474121094
2019-06-24,46.0
2019-05-23,45.619998931884766
2019-03-20,45.27000045776367
2019-01-15,45.689998626708984
2019-11-20,46.13999938964844
2020-02-07,46.33000183105469
2020-02-10,46.0
2020-04-29,45.869998931884766
2019-11-26,46.5099983215332
2020-02-13,46.16999816894531
2019-01-30,45.630001068115234
2018-08-23,45.15999984741211
2018-09-24,44.650001525878906
2018-11-27,44.529998779296875
2018-10-26,44.33000183105469
2019-07-09,44.150001525878906
2019-06-07,43.0099983215332
2019-05-06,42.939998626708984
2019-04-04,41.119998931884766
2019-09-11,39.310001373291016
2019-11-29,37.650001525878906
2020-05-05,38.84000015258789
2019-12-02,39.599998474121094
2020-02-19,39.38999938964844
2020-05-08,38.849998474121094
2019-05-21,38.11000061035156
2019-03-18,37.540000915527344
2018-09-07,37.150001525878906
2018-08-06,36.33000183105469
2018-10-09,33.7599983215332
2019-02-14,34.689998626708984
2018-12-12,34.59000015258789
2019-07-24,35.279998779296875
2019-09-26,33.33000183105469
2019-10-28,35.0
2019-12-05,33.88999938964844
2020-05-11,31.0
2019-07-03,32.4900016784668
2020-02-25,34.029998779296875
2020-05-14,34.790000915527344
2020-02-28,34.43000030517578
2019-08-08,36.0
2019-06-05,36.47999954223633
2018-07-20,34.970001220703125
2018-08-21,35.20000076293945
2018-10-24,34.779998779296875
2019-04-02,36.02000045776367
2019-03-01,37.58000183105469
2019-01-28,36.84000015258789
2018-12-27,37.84000015258789
2019-09-09,37.400001525878906
2020-03-02,37.52000045776367
2020-05-20,36.5
2019-12-17,35.900001525878906
2020-03-05,37.349998474121094
2019-02-12,37.4900016784668
2019-01-11,35.779998779296875
2018-12-10,35.709999084472656
2019-08-23,36.20000076293945
2018-11-08,36.15999984741211
2019-07-22,36.709999084472656
2019-06-20,37.310001373291016
2018-09-05,38.599998474121094
2019-04-17,38.709999084472656
2019-09-24,36.93000030517578
2019-12-20,34.959999084472656
2020-05-26,35.56999969482422
2019-04-30,35.310001373291016
2019-12-23,35.220001220703125
2020-03-11,36.4900016784668
2020-05-29,36.08000183105469
2019-12-26,36.029998779296875
2020-06-01,34.79999923706055
2019-05-02,34.220001220703125
2019-02-27,34.77000045776367
2018-11-23,35.9900016784668
2019-08-06,35.439998626708984
2018-07-18,35.45000076293945
2018-09-20,35.31999969482422
2018-10-22,35.40999984741211
2019-07-05,37.349998474121094
2019-06-03,39.0
2019-10-09,39.66999816894531
2019-10-11,39.45000076293945
2020-03-17,39.08000183105469
2020-06-04,39.709999084472656
2019-10-14,40.630001068115234
2020-03-20,41.15999984741211
2018-11-06,42.880001068115234
2019-06-18,42.91999816894531
2019-05-17,42.70000076293945
2019-04-15,42.400001525878906
2019-03-14,40.38999938964844
