Dates,TMUS
2018-08-23,3045900.0
2018-09-24,7460100.0
2018-11-27,6091300.0
2018-10-26,6350400.0
2019-07-09,12101000.0
2019-06-07,4700900.0
2019-05-06,5117500.0
2019-04-04,4371300.0
2019-09-11,5855500.0
2019-11-29,6958100.0
2020-05-05,5160600.0
2019-12-02,5702000.0
2020-02-19,5222200.0
2020-05-08,4941300.0
2019-05-21,5978500.0
2019-03-18,7946600.0
2018-09-07,6713600.0
2018-08-06,8840300.0
2018-10-09,9075300.0
2019-02-14,7401700.0
2018-12-12,6787700.0
2019-07-24,7609100.0
2019-09-26,11114200.0
2019-10-28,8906200.0
2019-12-05,6836600.0
2020-05-11,8328800.0
2019-07-03,5929100.0
2020-02-25,6252700.0
2020-05-14,4821300.0
2020-02-28,4309600.0
2019-08-08,5625200.0
2019-06-05,6920600.0
2018-07-20,11018800.0
2018-08-21,22956100.0
2018-10-24,8378500.0
2019-04-02,5256300.0
2019-03-01,4410100.0
2019-01-28,3831600.0
2018-12-27,5770900.0
2019-09-09,3955700.0
2020-03-02,4787100.0
2020-05-20,5804000.0
2019-12-17,4796400.0
2020-03-05,3847500.0
2019-02-12,3508700.0
2019-01-11,3946400.0
2018-12-10,4261900.0
2019-08-23,4537100.0
2018-11-08,3564100.0
2019-07-22,3726300.0
2019-06-20,3356500.0
2018-09-05,3110700.0
2019-04-17,3935600.0
2019-09-24,3162000.0
2019-12-20,4212200.0
2020-05-26,3020100.0
2019-04-30,3840900.0
2019-12-23,10442000.0
2020-03-11,4851100.0
2020-05-29,3732800.0
2019-12-26,3773600.0
2020-06-01,3256900.0
2019-05-02,3990100.0
2019-02-27,6715500.0
2018-11-23,6392800.0
2019-08-06,21394500.0
2018-07-18,5978700.0
2018-09-20,5586900.0
2018-10-22,4849300.0
2019-07-05,5007200.0
2019-06-03,4540400.0
2019-10-09,5457700.0
2019-10-11,9792500.0
2020-03-17,2903300.0
2020-06-04,4720200.0
2019-10-14,3756300.0
2020-03-20,2534100.0
2018-11-06,3957900.0
2019-06-18,5043500.0
2019-05-17,5037000.0
2019-04-15,6273500.0
2019-03-14,7689300.0
2019-01-09,5288500.0
2018-08-02,3842000.0
2018-10-05,5766100.0
2019-08-21,3753200.0
2019-10-17,4698900.0
2020-03-23,9268300.0
2020-06-10,5090500.0
2019-02-25,22929100.0
2020-01-07,66903100.0
2020-03-26,55407300.0
2019-10-23,25367800.0
