Dates,PHM
2020-03-16,26.311100006103516
2020-06-03,26.056316375732422
2018-11-28,25.80153465270996
2018-09-25,26.173904418945312
2018-07-23,26.16411018371582
2018-08-24,26.41888999938965
2019-07-10,26.487483978271484
2019-05-07,26.70306968688965
2019-04-05,26.693267822265625
2019-03-04,27.251829147338867
2019-01-31,26.801063537597656
2019-09-12,26.252302169799805
2019-12-31,26.801063537597656
2020-03-19,25.938724517822266
2020-01-03,26.35029411315918
2020-06-09,26.07591438293457
2019-02-15,25.968120574951172
2019-01-14,26.761863708496094
2018-07-06,26.644275665283203
2018-08-07,26.36989402770996
2018-10-10,26.575681686401367
2018-12-13,26.497282028198242
2019-08-26,26.59527587890625
2019-07-25,27.046045303344727
2019-05-22,27.41841697692871
2019-03-19,27.006847381591797
2020-01-06,26.889257431030273
2020-03-25,26.546281814575195
2020-06-12,26.458086013793945
2019-10-22,26.203304290771484
2020-01-09,27.12443733215332
2020-06-15,26.340496063232422
2019-10-25,26.232702255249023
2020-03-31,26.977449417114258
2020-06-18,27.026445388793945
2019-04-03,27.634002685546875
2018-08-22,27.447816848754883
2018-10-25,26.9676513671875
2019-01-29,26.652814865112305
2018-12-28,26.436365127563477
2018-11-26,26.239593505859375
2019-08-09,25.816532135009766
2019-07-08,25.38363265991211
2019-06-06,25.875564575195312
2019-09-10,26.151046752929688
2020-01-15,26.7708797454834
2020-04-03,26.938135147094727
2019-10-31,28.315542221069336
2020-04-06,27.843286514282227
2020-06-24,27.50877571105957
2018-11-09,27.439903259277344
2019-07-23,27.321842193603516
2019-06-21,27.321842193603516
2019-05-20,28.12860679626465
2019-04-18,28.47296142578125
2018-09-06,28.364730834960938
2018-10-08,28.108928680419922
2019-02-13,28.45328140258789
2018-12-11,28.935375213623047
2019-09-25,28.915695190429688
2020-01-21,29.0239200592041
2020-04-09,29.27972412109375
2019-11-06,29.555206298828125
2020-01-24,29.89955711364746
2020-01-27,29.732301712036133
2020-04-15,30.844064712524414
2018-12-26,31.345834732055664
2019-08-07,31.15890121459961
2019-06-04,30.952289581298828
2018-09-21,30.82438850402832
2018-07-19,30.952289581298828
2018-08-20,30.7850341796875
2018-10-23,31.188417434692383
2019-05-03,31.267127990722656
2019-04-01,31.227771759033203
2019-02-28,30.962127685546875
2019-11-12,30.57842254638672
2020-01-30,31.021160125732422
2019-11-15,31.0310001373291
2020-04-21,30.755517959594727
2019-04-16,31.552444458007812
2019-03-15,31.414705276489258
2019-02-11,31.80825424194336
2019-01-10,31.955833435058594
2019-08-22,31.345834732055664
2018-11-07,31.749221801757812
2018-08-03,31.601638793945312
2018-09-04,31.08019256591797
2019-06-19,31.601638793945312
2019-09-23,31.16874122619629
2019-11-18,30.755517959594727
2020-02-05,31.021160125732422
2020-04-24,30.49971580505371
2019-03-29,31.178579330444336
2019-11-21,31.424543380737305
2020-04-27,31.5426082611084
2020-02-11,31.296642303466797
2020-04-30,32.221473693847656
2019-05-01,32.20178985595703
2019-02-26,31.975509643554688
2019-01-25,31.6409912109375
2018-12-24,32.08525466918945
2019-09-06,32.430782318115234
2018-07-17,32.24320602416992
2018-09-19,32.48014831542969
2019-08-05,31.798954010009766
2019-10-08,32.312313079833984
2019-12-11,31.492908477783203
2019-11-27,31.73971939086914
2020-02-14,30.979543685913086
2020-05-06,30.762351989746094
2019-01-08,31.14737319946289
2018-12-07,31.216482162475586
2019-08-20,31.710100173950195
2018-11-05,32.04575729370117
2019-07-19,32.26295471191406
2018-10-04,31.53239631652832
2019-06-17,31.907546997070312
2019-05-16,31.58176040649414
2018-08-01,32.23333740234375
2019-03-13,32.272830963134766
2019-12-03,33.141597747802734
2020-02-20,32.71708297729492
2019-12-06,33.15147018432617
2020-05-12,33.0527458190918
2019-12-09,33.01325225830078
2020-02-26,32.80593490600586
2020-05-15,33.0527458190918
2019-03-28,30.298349380493164
2018-09-17,30.50566864013672
2018-08-16,31.453418731689453
2018-10-19,31.453418731689453
2019-04-29,31.06839370727539
2019-01-23,31.690351486206055
2019-09-04,31.107885360717773
2018-11-20,31.443546295166016
