Dates,DVA
2019-07-08,53.709999084472656
2019-06-06,55.0
2019-09-10,54.04999923706055
2020-01-15,53.2400016784668
2020-04-03,53.09000015258789
2019-10-31,53.47999954223633
2020-04-06,53.52000045776367
2020-06-24,54.290000915527344
2018-11-09,54.91999816894531
2019-07-23,54.599998474121094
2019-06-21,55.27000045776367
2019-05-20,55.11000061035156
2019-04-18,55.95000076293945
2018-09-06,55.2400016784668
2018-10-08,55.11000061035156
2019-02-13,55.900001525878906
2018-12-11,54.630001068115234
2019-09-25,54.540000915527344
2020-01-21,55.16999816894531
2020-04-09,55.31999969482422
2019-11-06,51.04999923706055
2020-01-24,52.22999954223633
2020-01-27,51.099998474121094
2020-04-15,53.029998779296875
2018-12-26,54.029998779296875
2019-08-07,53.88999938964844
2019-06-04,55.61000061035156
