Dates,DD
2020-04-21,62.658348083496094
2019-04-16,63.735809326171875
2019-03-15,62.36826705932617
2019-02-11,63.81869125366211
2019-01-10,64.17093658447266
2019-08-22,64.2952651977539
2018-11-07,66.28441619873047
2018-08-03,65.72496795654297
2018-09-04,64.10877227783203
2019-06-19,64.39885711669922
2019-09-23,63.75653076171875
2019-11-18,64.41958618164062
2020-02-05,64.58534240722656
2020-04-24,63.238521575927734
2019-03-29,74.50469970703125
2019-11-21,72.55641174316406
2020-04-27,73.29068756103516
2020-02-11,71.13681030273438
2020-04-30,72.09626770019531
2019-05-01,72.2039566040039
2019-02-26,72.18437957763672
2019-01-25,71.9200439453125
2018-12-24,73.26132202148438
2019-09-06,73.50608825683594
2018-07-17,73.18299102783203
2018-09-19,72.69347381591797
2019-08-05,71.4403076171875
2019-10-08,73.40817260742188
2019-12-11,73.0752944946289
2019-11-27,73.134033203125
2020-02-14,72.57598876953125
2020-05-06,72.29207611083984
2019-01-08,72.28228759765625
2018-12-07,73.49629211425781
2019-08-20,74.23056030273438
2018-11-05,73.27111053466797
2019-07-19,72.62494659423828
2018-10-04,72.19416046142578
2019-06-17,70.59834289550781
2019-05-16,68.53257751464844
2018-08-01,68.18991088867188
2019-03-13,68.04306030273438
2019-12-03,70.02070617675781
2020-02-20,70.4319076538086
2019-12-06,70.8039321899414
2020-05-12,69.8053207397461
2019-12-09,70.07946014404297
2020-02-26,70.06966400146484
2020-05-15,70.46127319335938
2019-03-28,71.70465087890625
2018-09-17,72.67390441894531
2018-08-16,71.61653900146484
2018-10-19,71.67527770996094
2019-04-29,71.55778503417969
2019-01-23,72.15747833251953
2019-09-04,70.93846893310547
2018-11-20,70.4764175415039
2019-07-02,67.88111114501953
2019-05-31,64.94171905517578
2019-12-12,67.36991119384766
2020-05-18,68.58891296386719
2019-09-27,69.56216430664062
2020-03-03,67.87127685546875
2020-05-21,66.75057220458984
2019-05-14,67.32076263427734
2018-08-31,64.66645812988281
2018-07-30,64.06678771972656
2018-10-02,65.0007095336914
2019-04-12,66.28852844238281
2019-03-11,65.96411895751953
2019-02-07,66.61294555664062
2019-07-17,66.52446746826172
2019-09-19,64.88273620605469
2019-10-21,63.17219543457031
2019-12-18,62.87726974487305
2020-03-06,62.97557830810547
2019-10-03,64.65662384033203
2020-03-09,66.78006744384766
2020-05-27,66.30818939208984
2019-12-24,67.32076263427734
2020-03-12,67.77297973632812
2018-12-20,68.04823303222656
2019-08-01,69.31639862060547
2018-08-14,70.19132232666016
2018-07-13,70.33879089355469
2018-10-17,70.08319854736328
2019-05-29,72.29510498046875
2019-03-26,70.9188003540039
2019-02-22,70.04386901855469
2019-10-04,70.7713394165039
2019-11-05,69.85708618164062
2019-12-27,70.387939453125
2020-06-02,69.71945190429688
2019-12-30,69.12960815429688
2020-03-18,69.70962524414062
2020-06-05,68.913330078125
2019-07-15,69.06079864501953
2018-12-03,70.10285186767578
2019-06-13,66.79972839355469
2019-01-04,66.10174560546875
2018-08-29,66.96685028076172
2019-02-05,66.99634552001953
