Dates,DPZ
2020-03-25,252.50999450683594
2020-06-12,250.94000244140625
2019-10-22,250.72999572753906
2020-01-09,248.57000732421875
2020-06-15,249.3300018310547
2019-10-25,248.60000610351562
2020-03-31,247.94000244140625
2020-06-18,250.52000427246094
2019-04-03,246.99000549316406
2018-08-22,240.0
2018-10-25,245.3699951171875
2019-01-29,247.25
2018-12-28,244.27000427246094
2018-11-26,243.41000366210938
2019-08-09,248.75999450683594
2019-07-08,243.94000244140625
2019-06-06,245.0500030517578
2019-09-10,239.25
2020-01-15,242.55999755859375
2020-04-03,245.39999389648438
2019-10-31,247.5800018310547
2020-04-06,253.9199981689453
2020-06-24,258.1000061035156
2018-11-09,249.4499969482422
2019-07-23,245.22000122070312
2019-06-21,253.11000061035156
2019-05-20,248.94000244140625
2019-04-18,254.55999755859375
2018-09-06,247.5
2018-10-08,247.8300018310547
2019-02-13,248.94000244140625
2018-12-11,255.5500030517578
2019-09-25,257.6099853515625
2020-01-21,258.8999938964844
2020-04-09,255.33999633789062
2019-11-06,265.25
2020-01-24,267.6099853515625
2020-01-27,266.0
2020-04-15,270.20001220703125
2018-12-26,283.4200134277344
2019-08-07,276.45001220703125
2019-06-04,273.42999267578125
2018-09-21,268.8699951171875
2018-07-19,270.5799865722656
2018-08-20,271.4599914550781
2018-10-23,274.32000732421875
2019-05-03,279.75
2019-04-01,282.0199890136719
2019-02-28,277.3900146484375
2019-11-12,283.1499938964844
2020-01-30,282.1600036621094
2019-11-15,278.3699951171875
2020-04-21,273.8800048828125
2019-04-16,272.8599853515625
2019-03-15,276.6700134277344
2019-02-11,277.8399963378906
2019-01-10,281.25
2019-08-22,284.8599853515625
2018-11-07,284.9700012207031
2018-08-03,284.42999267578125
2018-09-04,285.30999755859375
2019-06-19,282.6099853515625
2019-09-23,280.7300109863281
2019-11-18,277.7300109863281
2020-02-05,277.2799987792969
2020-04-24,279.5
2019-03-29,276.489990234375
2019-11-21,284.0
2020-04-27,285.3399963378906
2020-02-11,287.0
2020-04-30,287.0
2019-05-01,282.6400146484375
2019-02-26,280.1300048828125
2019-01-25,282.0
2018-12-24,281.2900085449219
2019-09-06,280.6499938964844
2018-07-17,282.0
2018-09-19,282.3500061035156
2019-08-05,280.67999267578125
2019-10-08,281.82000732421875
2019-12-11,280.3299865722656
2019-11-27,274.3699951171875
2020-02-14,277.1400146484375
2020-05-06,275.8699951171875
2019-01-08,277.94000244140625
2018-12-07,278.2799987792969
2019-08-20,271.1000061035156
2018-11-05,273.80999755859375
2019-07-19,280.9599914550781
2018-10-04,278.260009765625
2019-06-17,277.2099914550781
2019-05-16,280.0
2018-08-01,275.3500061035156
2019-03-13,277.6400146484375
2019-12-03,282.1099853515625
2020-02-20,269.9200134277344
2019-12-06,246.5399932861328
2020-05-12,253.00999450683594
2019-12-09,252.67999267578125
2020-02-26,257.92999267578125
2020-05-15,255.39999389648438
2019-03-28,257.7099914550781
2018-09-17,262.2099914550781
2018-08-16,260.6700134277344
2018-10-19,259.05999755859375
2019-04-29,252.47999572753906
2019-01-23,247.5500030517578
2019-09-04,244.52999877929688
2018-11-20,245.8300018310547
2019-07-02,244.75
2019-05-31,239.72000122070312
2019-12-12,242.50999450683594
2020-05-18,245.74000549316406
2019-09-27,246.75
2020-03-03,247.8300018310547
2020-05-21,240.00999450683594
2019-05-14,240.60000610351562
2018-08-31,236.1999969482422
2018-07-30,232.88999938964844
2018-10-02,234.9499969482422
2019-04-12,232.02000427246094
