Dates,EMR
2020-05-07,65.97650146484375
2018-08-17,66.66828155517578
2019-12-04,66.8388671875
2020-02-21,66.21341705322266
2018-12-17,66.10916900634766
2019-08-30,64.90562438964844
2018-11-15,63.503089904785156
2019-07-29,63.26617431640625
2019-06-27,63.87268829345703
2019-04-24,65.68643188476562
2018-07-10,66.45967102050781
2018-09-12,65.3523178100586
2019-02-19,64.0635986328125
2019-01-18,64.22587585449219
2020-02-24,62.822608947753906
2020-05-13,63.59584426879883
2019-12-10,63.71994400024414
2020-02-27,64.98001861572266
2019-12-13,64.27362823486328
2020-05-19,64.45498657226562
2019-03-06,65.73416900634766
2018-11-30,62.66987991333008
2019-08-13,60.894309997558594
2019-07-12,60.09244155883789
2019-06-10,59.710601806640625
2019-05-09,59.452857971191406
2018-07-25,58.307334899902344
2018-09-27,57.97321701049805
2018-10-29,57.696380615234375
2019-10-16,56.05446243286133
2019-12-16,55.834896087646484
2020-03-04,55.06166458129883
2020-05-22,54.126155853271484
2019-10-01,54.28843688964844
2019-12-19,52.97108459472656
2018-09-10,55.81581115722656
2019-05-24,56.63676834106445
2018-08-09,56.44584274291992
2019-04-22,57.03770065307617
2019-03-21,57.03770065307617
2019-01-16,55.8062629699707
2019-08-28,57.009063720703125
2018-11-13,57.438636779785156
2018-10-12,57.915931701660156
2019-06-25,58.6128044128418
2020-03-10,59.29057312011719
2020-05-28,59.204654693603516
2019-10-07,58.8896369934082
2020-03-13,58.72735595703125
2019-10-10,58.593711853027344
2020-03-16,59.18556594848633
2020-06-03,60.789302825927734
2018-11-28,60.14971923828125
2018-09-25,59.56740951538086
2018-07-23,60.17835998535156
2018-08-24,61.037498474121094
2019-07-10,59.57695388793945
2019-05-07,60.5506477355957
2019-04-05,62.70806121826172
2019-03-04,62.498046875
2019-01-31,63.62448501586914
2019-09-12,64.57909393310547
2019-12-31,63.86314392089844
2020-03-19,63.968143463134766
2020-01-03,63.32854080200195
2020-06-09,63.710391998291016
2019-02-15,63.882232666015625
2019-01-14,64.98001861572266
2018-07-06,65.30459594726562
2018-08-07,63.920047760009766
2018-10-10,65.67957305908203
2018-12-13,65.2757339477539
2019-08-26,65.93917083740234
2019-07-25,65.13151550292969
2019-05-22,65.91033935546875
2019-03-19,66.10263061523438
2020-01-06,65.70841979980469
2020-03-25,65.90071105957031
2020-06-12,65.5257339477539
2019-10-22,65.76611328125
2020-01-09,65.43919372558594
2020-06-15,65.12190246582031
2019-10-25,65.09305572509766
2020-03-31,64.70846557617188
2020-06-18,64.03541564941406
2019-04-03,64.84307861328125
2018-08-22,64.7276840209961
2018-10-25,65.3045883178711
2019-01-29,64.88153076171875
2018-12-28,64.73731994628906
2018-11-26,66.14108276367188
2019-08-09,65.78533935546875
2019-07-08,65.65071868896484
2019-06-06,66.5929946899414
2019-09-10,64.28540802001953
2020-01-15,63.920047760009766
2020-04-03,64.68922424316406
2019-10-31,64.56423950195312
2020-04-06,64.95844268798828
2020-06-24,65.83341217041016
2018-11-09,67.42948913574219
2019-07-23,67.23719024658203
2019-06-21,68.04483795166016
2019-05-20,68.3813705444336
2019-04-18,68.40059661865234
2018-09-06,68.94863891601562
2018-10-08,68.08329772949219
2019-02-13,68.39098358154297
2018-12-11,68.70826721191406
2019-09-25,69.32362365722656
2020-01-21,69.0351791381836
2020-04-09,69.40054321289062
2019-11-06,69.52554321289062
2020-01-24,69.71783447265625
2020-01-27,69.92937469482422
2020-04-15,70.34281921386719
2018-12-26,69.73706817626953
2019-08-07,68.53520202636719
2019-06-04,68.95825958251953
2018-09-21,68.33328247070312
2018-07-19,68.2563705444336
2018-08-20,67.5737075805664
2018-10-23,67.40064239501953
2019-05-03,68.36212921142578
2019-04-01,67.44872283935547
2019-02-28,64.92960357666016
2019-11-12,63.73735427856445
2020-01-30,64.22772216796875
2019-11-15,64.35271453857422
2020-04-21,62.15088653564453
2019-04-16,62.64125061035156
2019-03-15,63.02584457397461
2019-02-11,63.607086181640625
2019-01-10,62.79335403442383
2019-08-22,61.90211868286133
2018-11-07,63.28740692138672
2018-08-03,62.648040771484375
2018-09-04,60.72026062011719
2019-06-19,60.574954986572266
2019-09-23,59.286537170410156
2019-11-18,59.08310317993164
2020-02-05,59.286537170410156
2020-04-24,58.3565559387207
2019-03-29,58.68592071533203
2019-11-21,60.507137298583984
2020-04-27,61.31119155883789
2020-02-11,60.69120407104492
2020-04-30,61.68899917602539
2019-05-01,62.60928726196289
2019-02-26,61.47587203979492
2019-01-25,60.778385162353516
2018-12-24,61.224002838134766
2019-09-06,60.80744934082031
2018-07-17,60.72026062011719
2018-09-19,61.960243225097656
2019-08-05,61.4952507019043
2019-10-08,63.46178436279297
2019-12-11,63.578025817871094
2019-11-27,63.36491394042969
2020-02-14,63.24866485595703
2020-05-06,63.7911491394043
2019-01-08,64.03333282470703
2018-12-07,64.63394927978516
2019-08-20,64.62425994873047
2018-11-05,64.22708129882812
2019-07-19,64.12052154541016
2018-10-04,63.355228424072266
2019-06-17,62.822410583496094
2019-05-16,62.24117660522461
2018-08-01,61.708370208740234
2019-03-13,62.15399169921875
2019-12-03,63.63615798950195
2020-02-20,63.63615798950195
2019-12-06,64.16895294189453
2020-05-12,62.648040771484375
2019-12-09,62.221805572509766
2020-02-26,63.24866485595703
2020-05-15,63.355228424072266
2019-03-28,64.75988006591797
2018-09-17,65.15706634521484
2018-08-16,64.8373794555664
2018-10-19,64.5758285522461
2019-04-29,64.22708129882812
2019-01-23,65.18612670898438
2019-09-04,62.851478576660156
2018-11-20,60.797760009765625
2019-07-02,59.73215103149414
2019-05-31,57.591251373291016
2019-12-12,58.91841506958008
2020-05-18,57.717185974121094
2019-09-27,58.8699836730957
2020-03-03,57.62031173706055
2020-05-21,56.48689270019531
2019-05-14,57.339378356933594
2018-08-31,55.35347366333008
2018-07-30,55.11897277832031
2018-10-02,56.59440612792969
2019-04-12,57.20998764038086
2019-03-11,56.653038024902344
2019-02-07,57.12205123901367
2019-07-17,56.868003845214844
2019-09-19,55.69546890258789
2019-10-21,55.96905517578125
2019-12-18,55.95928955078125
2020-03-06,56.5064697265625
2019-10-03,57.78648376464844
2020-03-09,58.22618865966797
2020-05-27,57.06342697143555
2019-12-24,58.245731353759766
2020-03-12,60.4246940612793
2018-12-20,60.8253059387207
2019-08-01,62.32029342651367
2018-08-14,63.32672119140625
2018-07-13,63.70779800415039
2018-10-17,63.229007720947266
2019-05-29,64.0497817993164
2019-03-26,64.15726470947266
2019-02-22,63.46350860595703
2019-10-04,63.424434661865234
2019-11-05,63.67847442626953
2019-12-27,63.46350860595703
2020-06-02,63.44397735595703
2019-12-30,62.525489807128906
2020-03-18,62.98473358154297
2020-06-05,62.72091293334961
2019-07-15,64.88033294677734
2018-12-03,65.32980346679688
2019-06-13,63.75664520263672
2019-01-04,62.04670333862305
2018-08-29,62.92610168457031
2019-02-05,63.698028564453125
2018-11-01,62.97496032714844
2019-08-16,61.714481353759766
2019-04-10,62.16395568847656
2019-09-17,63.56122970581055
2019-10-15,65.50568389892578
2020-01-02,65.67178344726562
2020-06-08,66.17988586425781
2019-10-18,65.77926635742188
2020-03-24,66.49256896972656
2020-06-11,67.0788345336914
2020-01-08,67.84098815917969
2019-04-25,68.6226806640625
2019-07-30,68.94512176513672
2019-02-20,68.28067779541016
2018-07-11,69.19917297363281
2018-09-13,69.36528015136719
2018-10-15,69.23825073242188
2019-06-28,69.40436553955078
2018-12-18,68.54450988769531
2018-11-16,70.14697265625
2019-10-02,71.54424285888672
2020-03-27,72.10120391845703
2020-01-10,71.91554260253906
2019-10-24,72.10120391845703
2020-03-30,72.18914031982422
2020-06-17,72.12074279785156
2020-01-14,72.37478637695312
2020-04-02,71.89600372314453
2019-01-02,71.55168151855469
2019-08-14,72.33871459960938
2018-10-30,71.88616943359375
2019-06-11,72.09276580810547
2019-05-10,71.57135009765625
2019-04-08,72.36822509765625
2018-08-27,72.46661376953125
2018-07-26,73.14542388916016
2018-09-28,73.22413635253906
2019-03-07,73.23397064208984
2019-10-30,72.66336822509766
2020-01-17,72.17147064208984
2020-06-23,71.43362426757812
2020-04-08,72.30919647216797
2020-06-26,72.78142547607422
2019-03-22,73.8734359741211
2019-01-17,73.94230651855469
2019-08-29,73.34219360351562
2018-11-14,74.5030746459961
2019-06-26,75.72298431396484
2018-09-11,74.74903106689453
2018-07-09,74.92610931396484
2018-08-10,74.91626739501953
2019-04-23,74.80805206298828
2019-09-30,74.85723876953125
2020-01-23,75.0343246459961
2019-11-08,75.54590606689453
2020-04-14,74.86707305908203
2019-11-11,75.42784118652344
2020-01-29,75.27043914794922
2020-04-17,75.20157623291016
2018-07-24,75.02448272705078
2018-09-26,76.22472381591797
2019-05-08,75.18189239501953
2019-03-05,75.80168914794922
2019-02-01,75.98860931396484
2018-12-31,76.25423431396484
2018-11-29,76.53954315185547
2019-08-12,75.69346618652344
2019-07-11,76.13617706298828
2019-09-13,75.62460327148438
2019-11-14,75.41801452636719
2020-04-20,76.60840606689453
2020-02-04,76.51985931396484
2020-04-23,75.99845123291016
2018-12-14,75.77217102050781
2019-08-27,76.33293151855469
2018-08-08,75.45735931396484
2018-10-11,72.5453109741211
2018-11-12,73.22413635253906
2019-07-26,72.71256256103516
2019-06-24,72.63385772705078
2019-05-23,70.46949768066406
2019-03-20,71.42378234863281
2019-01-15,72.05341339111328
2019-11-20,74.7785415649414
2020-02-07,74.03084564208984
2020-02-10,72.5748291015625
2020-04-29,72.20098114013672
2019-11-26,72.63385772705078
2020-02-13,74.17842102050781
2019-01-30,72.43537902832031
2018-08-23,72.80181121826172
2018-09-24,70.75175476074219
2018-11-27,71.16770935058594
2018-10-26,71.32616424560547
2019-07-09,71.3954849243164
2019-06-07,68.52342987060547
2019-05-06,65.95838165283203
2019-04-04,65.98809051513672
2019-09-11,63.759765625
2019-11-29,63.49237060546875
2020-05-05,65.6612777709961
2019-12-02,63.125938415527344
2020-02-19,66.0277099609375
2020-05-08,64.10639953613281
2019-05-21,61.54134750366211
2019-03-18,49.87483596801758
2018-09-07,53.34111785888672
2018-08-06,51.63768768310547
2018-10-09,45.735107421875
2019-02-14,49.84512710571289
2018-12-12,46.507591247558594
2019-07-24,46.963157653808594
2019-09-26,40.74365997314453
2019-10-28,45.5766487121582
2019-12-05,43.66524124145508
2020-05-11,37.71314239501953
2019-07-03,43.87321853637695
2020-02-25,47.151329040527344
2020-05-14,48.329864501953125
2020-02-28,45.14088821411133
2019-08-08,46.18077087402344
2019-06-05,47.19094467163086
2018-07-20,45.25973129272461
2018-08-21,47.270172119140625
2018-10-24,45.279541015625
2019-04-02,48.914180755615234
2019-03-01,49.805511474609375
2019-01-28,51.59807205200195
2018-12-27,51.28115463256836
2019-09-09,50.69683837890625
2020-03-02,50.00358581542969
2020-05-20,47.44844055175781
2019-12-17,46.91364288330078
2020-03-05,50.053104400634766
2019-02-12,50.429439544677734
2019-01-11,50.280887603759766
2018-12-10,51.60797882080078
2019-08-23,52.4002685546875
2018-11-08,53.3015022277832
2019-07-22,55.490211486816406
2019-06-20,56.97576141357422
2018-09-05,58.50092697143555
2019-04-17,56.4805793762207
2019-09-24,53.271793365478516
2019-12-20,53.76697540283203
2020-05-26,54.17302703857422
2019-04-30,54.05418395996094
2019-12-23,54.727630615234375
2020-03-11,55.55953598022461
2020-05-29,55.480308532714844
2019-12-26,52.92516326904297
2020-06-01,51.400001525878906
2019-05-02,53.380001068115234
2019-02-27,52.939998626708984
2018-11-23,56.41999816894531
2019-08-06,55.70000076293945
2018-07-18,56.810001373291016
2018-09-20,56.25
2018-10-22,55.869998931884766
2019-07-05,59.27000045776367
2019-06-03,61.88999938964844
2019-10-09,61.029998779296875
2019-10-11,61.02000045776367
2020-03-17,60.400001525878906
2020-06-04,61.150001525878906
2019-10-14,62.91999816894531
2020-03-20,63.130001068115234
2018-11-06,67.0999984741211
2019-06-18,69.33000183105469
2019-05-17,67.51000213623047
2019-04-15,65.87999725341797
2019-03-14,60.459999084472656
2019-01-09,61.349998474121094
2018-08-02,62.27000045776367
2018-10-05,63.459999084472656
2019-08-21,62.59000015258789
2019-10-17,61.38999938964844
2020-03-23,61.97999954223633
2020-06-10,61.439998626708984
2019-02-25,61.81999969482422
2020-01-07,59.630001068115234
2020-03-26,60.349998474121094
2019-10-23,59.869998931884766
