Dates,GC=F
2019-01-29,1289.800048828125
2018-12-28,1293.0
2019-09-10,1288.4000244140625
2018-11-26,1290.0
2019-08-09,1289.9000244140625
2019-07-08,1289.0
2019-06-06,1290.4000244140625
2020-01-15,1297.0999755859375
2020-04-03,1303.5
2020-03-29,1309.0999755859375
2020-06-21,1288.5999755859375
2019-10-31,1290.5999755859375
2020-04-06,1286.800048828125
2020-06-24,1272.5999755859375
2018-11-09,1272.199951171875
2019-07-23,1271.9000244140625
2019-06-21,1273.5
2019-05-20,1269.300048828125
2019-04-18,1275.5
2018-09-06,1275.800048828125
2018-10-08,1284.9000244140625
2019-02-13,1278.5999755859375
2018-12-11,1282.800048828125
2019-09-25,1281.4000244140625
2020-01-21,1269.699951171875
2020-04-09,1279.199951171875
2019-11-06,1281.699951171875
2020-01-24,1283.5
2020-04-12,1279.4000244140625
2020-01-27,1283.5
2020-04-15,1285.699951171875
2018-12-26,1300.0999755859375
2019-08-07,1294.699951171875
2019-06-04,1296.300048828125
2018-09-21,1285.0
2018-07-19,1274.5
2018-08-20,1276.0999755859375
2018-10-23,1272.0
2019-05-03,1273.5999755859375
2019-04-01,1284.800048828125
2019-02-28,1283.0
2019-11-12,1276.5
2020-01-30,1280.5999755859375
2019-11-15,1287.0999755859375
2020-02-02,1305.800048828125
2020-04-21,1322.699951171875
2019-04-16,1323.4000244140625
2019-03-15,1328.300048828125
2019-02-11,1337.5999755859375
2019-01-10,1341.199951171875
2019-08-22,1324.699951171875
2018-11-07,1326.4000244140625
2018-08-03,1331.9000244140625
2018-09-04,1339.199951171875
2019-06-19,1340.0999755859375
2019-09-23,1338.699951171875
2019-11-18,1346.5999755859375
2020-02-05,1344.5999755859375
2020-04-24,1392.9000244140625
2019-03-29,1396.199951171875
2019-11-21,1414.300048828125
2020-04-27,1414.9000244140625
2020-02-11,1411.5999755859375
2020-04-30,1408.4000244140625
2019-05-01,1409.699951171875
2019-02-26,1385.5999755859375
2019-01-25,1404.5999755859375
2019-09-06,1396.699951171875
2018-07-17,1397.0
2018-09-19,1397.5
2019-08-05,1410.0999755859375
2019-10-08,1404.300048828125
2019-12-11,1409.9000244140625
2020-01-12,1411.4000244140625
2019-11-27,1409.199951171875
2020-02-14,1421.300048828125
2020-05-03,1426.0999755859375
2020-05-06,1425.0999755859375
2019-01-08,1425.300048828125
2018-12-07,1420.0999755859375
2019-08-20,1422.800048828125
2018-11-05,1413.9000244140625
2019-07-19,1418.5
2018-10-04,1419.5999755859375
2019-06-17,1429.699951171875
2019-05-16,1426.0999755859375
2018-08-01,1420.9000244140625
2019-03-13,1445.5999755859375
2019-12-03,1464.5999755859375
2020-02-20,1472.4000244140625
2019-12-06,1507.300048828125
2020-02-23,1497.699951171875
2020-05-12,1496.5999755859375
2019-12-09,1505.300048828125
2020-02-26,1502.199951171875
2020-05-15,1515.9000244140625
2019-03-28,1519.5999755859375
2018-09-17,1512.5
2018-08-16,1500.4000244140625
2018-10-19,1504.5999755859375
2019-04-29,1504.5999755859375
2019-01-23,1497.300048828125
2019-09-04,1526.5999755859375
2018-11-20,1526.300048828125
2019-07-02,1541.0
2019-05-31,1537.800048828125
2020-05-18,1526.5
2020-03-03,1519.0999755859375
2020-05-21,1545.9000244140625
2019-05-14,1550.300048828125
2018-08-31,1515.4000244140625
2018-07-30,1506.199951171875
2018-10-02,1502.199951171875
2019-04-12,1490.300048828125
2019-03-11,1494.4000244140625
2019-02-07,1498.699951171875
2019-07-17,1490.9000244140625
2019-09-19,1503.0999755859375
2019-10-21,1505.0999755859375
2019-12-18,1507.5
2020-03-06,1498.4000244140625
2020-05-24,1507.300048828125
2019-10-03,1523.699951171875
2020-03-09,1532.0999755859375
2020-05-27,1504.5999755859375
2020-03-12,1507.5
2018-12-20,1499.0999755859375
2019-08-01,1465.699951171875
2018-08-14,1482.0
2018-07-13,1501.0
2018-10-17,1507.0999755859375
2019-05-29,1506.199951171875
2019-03-26,1497.699951171875
2019-02-22,1497.199951171875
2019-10-04,1506.0999755859375
2019-11-05,1494.800048828125
2019-12-27,1482.699951171875
2020-06-02,1491.699951171875
2019-12-30,1477.5999755859375
2020-03-18,1488.0
2020-06-05,1492.300048828125
2019-07-15,1488.199951171875
2018-12-03,1482.4000244140625
2019-06-13,1481.699951171875
2019-01-04,1489.9000244140625
