Dates,ATVI
2019-02-19,46.83000183105469
2019-01-18,49.86000061035156
2020-02-24,49.720001220703125
2020-05-13,49.9900016784668
2019-12-10,49.79999923706055
2020-02-27,49.97999954223633
2019-12-13,50.599998474121094
2020-05-19,49.2599983215332
2019-03-06,46.45000076293945
2018-11-30,46.34000015258789
2019-08-13,45.5
2019-07-12,47.20000076293945
2019-06-10,46.66999816894531
2019-05-09,47.720001220703125
2018-07-25,48.41999816894531
2018-09-27,47.720001220703125
2018-10-29,46.970001220703125
2019-10-16,46.63999938964844
2019-12-16,46.779998779296875
2020-03-04,45.86000061035156
2020-05-22,45.93000030517578
2019-10-01,44.959999084472656
2019-12-19,43.91999816894531
2018-09-10,43.709999084472656
2019-05-24,45.209999084472656
2018-08-09,46.099998474121094
2019-04-22,46.0099983215332
2019-03-21,45.13999938964844
2019-01-16,45.0
2019-08-28,45.130001068115234
2018-11-13,47.09000015258789
2018-10-12,49.0
2019-06-25,49.90999984741211
2020-03-10,50.09000015258789
2020-05-28,44.470001220703125
2019-10-07,45.81999969482422
2020-03-13,46.619998931884766
2019-10-10,45.86000061035156
2020-03-16,46.40999984741211
2020-06-03,47.84000015258789
2018-11-28,46.81999969482422
2018-09-25,45.630001068115234
2018-07-23,45.88999938964844
2018-08-24,47.09000015258789
2019-07-10,45.959999084472656
2019-05-07,45.22999954223633
2019-04-05,45.5
2019-03-04,45.97999954223633
2019-01-31,45.5099983215332
2019-09-12,46.06999969482422
2019-12-31,46.61000061035156
2020-03-19,42.529998779296875
2020-01-03,43.04999923706055
2020-06-09,42.880001068115234
2019-02-15,39.849998474121094
2019-01-14,40.11000061035156
2018-07-06,42.84000015258789
2018-08-07,43.790000915527344
2018-10-10,44.13999938964844
2018-12-13,43.5
2019-08-26,42.47999954223633
2019-07-25,41.66999816894531
2019-05-22,41.25
2019-03-19,41.0
2020-01-06,41.720001220703125
2020-03-25,41.61000061035156
2020-06-12,41.66999816894531
2019-10-22,42.18000030517578
2020-01-09,41.310001373291016
2020-06-15,41.04999923706055
2019-10-25,41.86000061035156
2020-03-31,41.18000030517578
2020-06-18,40.88999938964844
2019-04-03,41.9900016784668
2018-08-22,42.560001373291016
2018-10-25,42.56999969482422
2019-01-29,43.22999954223633
2018-12-28,43.90999984741211
2018-11-26,44.119998931884766
2019-08-09,45.290000915527344
2019-07-08,46.130001068115234
2019-06-06,45.900001525878906
2019-09-10,46.279998779296875
2020-01-15,46.41999816894531
2020-04-03,45.959999084472656
2019-10-31,45.2400016784668
2020-04-06,44.869998931884766
2020-06-24,45.0099983215332
2018-11-09,46.15999984741211
2019-07-23,46.20000076293945
2019-06-21,47.400001525878906
2019-05-20,46.58000183105469
2019-04-18,46.68000030517578
2018-09-06,46.369998931884766
2018-10-08,46.849998474121094
2019-02-13,47.150001525878906
2018-12-11,46.86000061035156
2019-09-25,46.939998626708984
2020-01-21,45.63999938964844
2020-04-09,44.7400016784668
2019-11-06,43.959999084472656
2020-01-24,44.650001525878906
2020-01-27,44.70000076293945
2020-04-15,45.470001220703125
2018-12-26,46.040000915527344
2019-08-07,46.13999938964844
2019-06-04,47.29999923706055
2018-09-21,48.220001220703125
2018-07-19,47.779998779296875
2018-08-20,48.2400016784668
2018-10-23,48.720001220703125
2019-05-03,46.15999984741211
2019-04-01,46.0
2019-02-28,46.349998474121094
2019-11-12,46.400001525878906
2020-01-30,45.70000076293945
2019-11-15,43.52000045776367
2020-04-21,43.16999816894531
2019-04-16,43.380001068115234
2019-03-15,44.43000030517578
2019-02-11,45.81999969482422
2019-01-10,46.29999923706055
2019-08-22,43.33000183105469
2018-11-07,43.400001525878906
2018-08-03,42.83000183105469
2018-09-04,41.95000076293945
2019-06-19,41.84000015258789
2019-09-23,43.279998779296875
2019-11-18,42.84000015258789
2020-02-05,43.15999984741211
2020-04-24,43.0099983215332
2019-03-29,42.099998474121094
2019-11-21,42.25
2020-04-27,43.4900016784668
2020-02-11,43.70000076293945
2020-04-30,44.060001373291016
2019-05-01,45.20000076293945
2019-02-26,46.189998626708984
2019-01-25,44.970001220703125
2018-12-24,45.08000183105469
2019-09-06,45.119998931884766
2018-07-17,45.0
2018-09-19,45.33000183105469
2019-08-05,44.59000015258789
2019-10-08,45.45000076293945
2019-12-11,45.189998626708984
2019-11-27,45.63999938964844
2020-02-14,45.65999984741211
2020-05-06,46.209999084472656
2019-01-08,46.52000045776367
2018-12-07,46.560001373291016
2019-08-20,47.209999084472656
2018-11-05,47.689998626708984
2019-07-19,47.72999954223633
2018-10-04,46.63999938964844
2019-06-17,46.22999954223633
2019-05-16,45.72999954223633
2018-08-01,46.56999969482422
2019-03-13,46.43000030517578
2019-12-03,47.040000915527344
2020-02-20,46.880001068115234
2019-12-06,46.65999984741211
2020-05-12,46.43000030517578
2019-12-09,45.4900016784668
2020-02-26,45.09000015258789
2020-05-15,44.810001373291016
2019-03-28,45.290000915527344
2018-09-17,45.689998626708984
2018-08-16,46.36000061035156
2018-10-19,47.15999984741211
2019-04-29,47.08000183105469
2019-01-23,47.5
2019-09-04,48.380001068115234
2018-11-20,48.810001373291016
2019-07-02,48.650001525878906
2019-05-31,45.52000045776367
2019-12-12,46.380001068115234
2020-05-18,46.099998474121094
2019-09-27,47.90999984741211
2020-03-03,47.11000061035156
2020-05-21,46.95000076293945
2019-05-14,46.470001220703125
2018-08-31,45.0
2018-07-30,44.90999984741211
2018-10-02,45.790000915527344
2019-04-12,47.279998779296875
2019-03-11,47.5
