Dates,AVY
2019-08-07,109.91999816894531
2019-06-04,108.87999725341797
2018-09-21,109.18000030517578
2018-07-19,109.80999755859375
2018-08-20,110.62000274658203
2018-10-23,108.62000274658203
2019-05-03,110.18000030517578
2019-04-01,110.0
2019-02-28,108.30000305175781
2019-11-12,106.83000183105469
2020-01-30,105.33999633789062
2019-11-15,105.23999786376953
2020-04-21,104.47000122070312
2019-04-16,103.62999725341797
2019-03-15,102.98999786376953
2019-02-11,103.0999984741211
2019-01-10,102.0199966430664
2019-08-22,100.77999877929688
2018-11-07,100.72000122070312
2018-08-03,101.58000183105469
2018-09-04,99.62999725341797
2019-06-19,100.16000366210938
2019-09-23,101.26000213623047
2019-11-18,101.29000091552734
2020-02-05,102.6500015258789
2020-04-24,102.72000122070312
2019-03-29,104.0
2019-11-21,105.81999969482422
2020-04-27,108.5
2020-02-11,109.04000091552734
2020-04-30,110.97000122070312
2019-05-01,112.7300033569336
2019-02-26,113.44000244140625
2019-01-25,112.12000274658203
2018-12-24,111.91999816894531
2019-09-06,111.12000274658203
2018-07-17,110.4800033569336
2018-09-19,110.80000305175781
2019-08-05,110.55999755859375
2019-10-08,112.62999725341797
2019-12-11,113.25
2019-11-27,111.98999786376953
2020-02-14,111.97000122070312
2020-05-06,111.87999725341797
2019-01-08,110.91999816894531
2018-12-07,113.30000305175781
2019-08-20,116.83000183105469
2018-11-05,118.55999755859375
2019-07-19,119.58999633789062
2018-10-04,119.47000122070312
2019-06-17,120.04000091552734
2019-05-16,117.30000305175781
2018-08-01,116.0
2019-03-13,114.80000305175781
2019-12-03,113.94999694824219
2020-02-20,113.88999938964844
2019-12-06,113.88999938964844
2020-05-12,115.5199966430664
2019-12-09,113.05999755859375
2020-02-26,114.2699966430664
2020-05-15,113.66000366210938
2019-03-28,112.30999755859375
2018-09-17,117.45999908447266
2018-08-16,116.81999969482422
2018-10-19,115.9000015258789
2019-04-29,117.16000366210938
2019-01-23,115.80999755859375
2019-09-04,115.8499984741211
2018-11-20,115.02999877929688
2019-07-02,110.88999938964844
2019-05-31,109.44999694824219
2019-12-12,109.0
2020-05-18,108.87999725341797
2019-09-27,111.3499984741211
2020-03-03,114.38999938964844
2020-05-21,112.75
2019-05-14,111.94999694824219
2018-08-31,111.30999755859375
2018-07-30,110.87000274658203
2018-10-02,112.6500015258789
2019-04-12,115.27999877929688
2019-03-11,115.30999755859375
2019-02-07,114.75
2019-07-17,115.27999877929688
2019-09-19,114.5
2019-10-21,111.69999694824219
2019-12-18,112.13999938964844
2020-03-06,112.76000213623047
2019-10-03,114.94000244140625
2020-03-09,116.0199966430664
2020-05-27,114.18000030517578
2019-12-24,113.47000122070312
2020-03-12,115.19000244140625
2018-12-20,114.54000091552734
2019-08-01,114.94000244140625
2018-08-14,113.38999938964844
2018-07-13,113.87999725341797
2018-10-17,113.19999694824219
2019-05-29,115.77999877929688
2019-03-26,115.23999786376953
2019-02-22,112.66000366210938
2019-10-04,114.5
2019-11-05,113.87999725341797
2019-12-27,114.31999969482422
2020-06-02,112.55000305175781
2019-12-30,113.91999816894531
2020-03-18,112.44999694824219
2020-06-05,112.51000213623047
2019-07-15,113.5199966430664
2018-12-03,113.05999755859375
2019-06-13,114.25
2019-01-04,110.75
2018-08-29,109.0
2019-02-05,109.80000305175781
2018-11-01,111.0199966430664
2019-08-16,109.94000244140625
2019-04-10,110.30999755859375
2019-09-17,110.19000244140625
2019-10-15,112.80999755859375
2020-01-02,113.29000091552734
2020-06-08,113.66999816894531
2019-10-18,114.04000091552734
2020-03-24,114.25
2020-06-11,115.01000213623047
2020-01-08,117.87999725341797
