Dates,GOOG
2018-09-12,1060.7900390625
2019-02-19,1031.739990234375
2019-01-18,1048.56005859375
2020-02-24,1037.5899658203125
2020-05-13,1049.31005859375
2019-12-10,1057.5799560546875
2020-02-27,1086.8399658203125
2019-12-13,1094.2449951171875
2020-05-19,1095.5699462890625
2019-03-06,1124.6500244140625
2018-11-30,1104.4200439453125
2019-08-13,1071.199951171875
2019-07-12,1075.260009765625
2019-06-10,1048.449951171875
2019-05-09,1060.5999755859375
2018-07-25,1081.6500244140625
2018-09-27,1079.760009765625
2018-10-29,1062.5999755859375
2019-10-16,1053.1500244140625
2019-12-16,1049.47998046875
2020-03-04,1062.0
2020-05-22,1034.219970703125
2019-10-01,1024.02001953125
2019-12-19,1003.5399780273438
2018-09-10,1040.0
2019-05-24,1043.8900146484375
2018-08-09,1055.56005859375
2019-04-22,1052.699951171875
2019-03-21,1052.3199462890625
2019-01-16,1056.97998046875
2019-08-28,1070.8399658203125
2018-11-13,1074.0
2018-10-12,1084.56005859375
2019-06-25,1082.6300048828125
2020-03-10,1071.1500244140625
2020-05-28,1063.7750244140625
2019-10-07,1051.530029296875
2020-03-13,1080.050048828125
2019-10-10,1092.375
2020-03-16,1091.800048828125
2020-06-03,1108.35205078125
2018-11-28,1091.510009765625
2018-09-25,1084.9300537109375
2018-07-23,1079.4749755859375
2018-08-24,1094.0
2019-07-10,1083.0
2019-05-07,1075.1500244140625
2019-04-05,1091.0
2019-03-04,1117.3299560546875
2019-01-31,1125.0
2019-09-12,1132.800048828125
2019-12-31,1146.8499755859375
2020-03-19,1147.0
2020-01-03,1104.8399658203125
2020-06-09,1098.9100341796875
2019-02-15,1105.9449462890625
2019-01-14,1125.2950439453125
2018-07-06,1134.72998046875
2018-08-07,1128.22998046875
2018-10-10,1131.6700439453125
2018-12-13,1121.8900146484375
2019-08-26,1123.4100341796875
2019-07-25,1111.93994140625
2019-05-22,1111.239990234375
2019-03-19,1118.5400390625
2020-01-06,1119.510009765625
2020-03-25,1117.97998046875
2020-06-12,1127.6500244140625
2019-10-22,1142.969970703125
2020-01-09,1158.280029296875
2020-06-15,1169.6099853515625
2019-10-25,1167.5660400390625
2020-03-31,1156.7550048828125
2020-06-18,1147.0799560546875
2019-04-03,1176.18994140625
2018-08-22,1200.0
2018-10-25,1200.9300537109375
2019-01-29,1197.8800048828125
2018-12-28,1196.5699462890625
2018-11-26,1190.0
2019-08-09,1200.0
2019-07-08,1227.1400146484375
2019-06-06,1231.7900390625
2019-09-10,1230.0
