Dates,ANET
2018-11-12,616200.0
2019-07-26,452100.0
2019-06-24,691200.0
2019-05-23,1000800.0
2019-03-20,564400.0
2019-01-15,493500.0
2019-11-20,658000.0
2020-02-07,464900.0
2020-02-10,470400.0
2020-04-29,810100.0
2019-11-26,709700.0
2020-02-13,836200.0
2019-01-30,1531200.0
2018-08-23,2114500.0
2018-09-24,861000.0
2018-11-27,719000.0
2018-10-26,747000.0
2019-07-09,964500.0
2019-06-07,1030600.0
2019-05-06,1278600.0
2019-04-04,822300.0
2019-09-11,1099000.0
2019-11-29,1217200.0
2020-05-05,916200.0
2019-12-02,698800.0
2020-02-19,714200.0
2020-05-08,560000.0
2019-05-21,965300.0
2019-03-18,1177300.0
2018-09-07,1359600.0
2018-08-06,1460000.0
2018-10-09,2067400.0
2019-02-14,1073300.0
2018-12-12,1029700.0
2019-07-24,1494500.0
2019-09-26,1988000.0
2019-10-28,933000.0
2019-12-05,1143600.0
2020-05-11,981700.0
2019-07-03,1473800.0
2020-02-25,1514600.0
2020-05-14,1187400.0
2020-02-28,915300.0
2019-08-08,1040100.0
2019-06-05,1132100.0
2018-07-20,860200.0
2018-08-21,663500.0
2018-10-24,844400.0
2019-04-02,998300.0
2019-03-01,851600.0
2019-01-28,794300.0
2018-12-27,1384400.0
2019-09-09,875300.0
2020-03-02,731400.0
2020-05-20,477200.0
2019-12-17,773900.0
2020-03-05,714300.0
2019-02-12,603900.0
2019-01-11,719900.0
2018-12-10,579500.0
2019-08-23,390000.0
2018-11-08,629300.0
2019-07-22,634900.0
2019-06-20,651300.0
2018-09-05,1080700.0
2019-04-17,743200.0
2019-09-24,761700.0
2019-12-20,612300.0
2020-05-26,1256000.0
2019-04-30,2490100.0
2019-12-23,1104200.0
2020-03-11,1084700.0
2020-05-29,807200.0
2019-12-26,932800.0
2020-06-01,1041400.0
2019-05-02,787200.0
2019-02-27,822500.0
2018-11-23,546600.0
2019-08-06,491100.0
2018-07-18,726300.0
2018-09-20,556500.0
2018-10-22,478600.0
2019-07-05,419000.0
2019-06-03,465100.0
2019-10-09,612900.0
2019-10-11,962600.0
