Dates,MAR
2020-04-15,135.44000244140625
2018-12-26,134.66000366210938
2019-08-07,134.11000061035156
2019-06-04,135.57000732421875
2018-09-21,135.82000732421875
2018-07-19,135.27999877929688
2018-08-20,137.55999755859375
2018-10-23,135.72000122070312
2019-05-03,137.27999877929688
2019-04-01,136.5800018310547
2019-02-28,134.07000732421875
2019-11-12,133.60000610351562
2020-01-30,132.7899932861328
2019-11-15,127.69999694824219
2020-04-21,125.72000122070312
2019-04-16,126.30999755859375
2019-03-15,127.2699966430664
2019-02-11,130.9600067138672
2019-01-10,130.8699951171875
2019-08-22,127.48999786376953
2018-11-07,128.07000732421875
2018-08-03,127.62999725341797
2018-09-04,123.52999877929688
2019-06-19,124.37999725341797
2019-09-23,123.62999725341797
2019-11-18,122.5199966430664
2020-02-05,123.81999969482422
2020-04-24,122.45999908447266
2019-03-29,123.45999908447266
2019-11-21,125.51000213623047
2020-04-27,126.44000244140625
2020-02-11,126.95999908447266
2020-04-30,129.0
2019-05-01,132.47000122070312
2019-02-26,133.2100067138672
2019-01-25,132.67999267578125
2018-12-24,132.02999877929688
2019-09-06,132.1699981689453
2018-07-17,132.5800018310547
2018-09-19,133.85000610351562
2019-08-05,134.08999633789062
2019-10-08,136.4600067138672
2019-12-11,136.0399932861328
2019-11-27,136.38999938964844
2020-02-14,132.74000549316406
2020-05-06,133.6999969482422
2019-01-08,135.91000366210938
2018-12-07,138.14999389648438
2019-08-20,140.77999877929688
2018-11-05,139.25
2019-07-19,141.08999633789062
2018-10-04,139.6300048828125
2019-06-17,140.02000427246094
2019-05-16,137.85000610351562
2018-08-01,139.0
2019-03-13,140.6999969482422
2019-12-03,141.63999938964844
2020-02-20,140.8800048828125
2019-12-06,142.60000610351562
2020-05-12,141.14999389648438
2019-12-09,138.67999267578125
2020-02-26,137.6300048828125
2020-05-15,135.38999938964844
2019-03-28,136.11000061035156
2018-09-17,137.75
2018-08-16,139.30999755859375
2018-10-19,139.9199981689453
2019-04-29,139.4600067138672
2019-01-23,139.8800048828125
2019-09-04,137.8000030517578
2018-11-20,136.5
2019-07-02,135.4499969482422
2019-05-31,129.86000061035156
2019-12-12,126.30000305175781
2020-05-18,124.7699966430664
2019-09-27,128.22000122070312
2020-03-03,129.72999572753906
2020-05-21,129.83999633789062
2019-05-14,130.00999450683594
2018-08-31,126.2300033569336
2018-07-30,126.0199966430664
2018-10-02,127.33000183105469
2019-04-12,129.9600067138672
2019-03-11,129.72999572753906
2019-02-07,128.0
2019-07-17,126.97000122070312
2019-09-19,124.66999816894531
2019-10-21,125.37000274658203
2019-12-18,125.26000213623047
2020-03-06,124.66000366210938
2019-10-03,125.37999725341797
2020-03-09,125.79000091552734
2020-05-27,123.62999725341797
2019-12-24,124.91999816894531
2020-03-12,125.91999816894531
2018-12-20,128.0500030517578
2019-08-01,128.36000061035156
2018-08-14,128.6699981689453
2018-07-13,130.8300018310547
2018-10-17,132.38999938964844
2019-05-29,132.55999755859375
2019-03-26,130.17999267578125
2019-02-22,129.77999877929688
2019-10-04,128.7100067138672
2019-11-05,129.41000366210938
2019-12-27,126.86000061035156
2020-06-02,125.4000015258789
2019-12-30,122.19000244140625
2020-03-18,121.27999877929688
2020-06-05,121.3499984741211
2019-07-15,120.0199966430664
2018-12-03,120.66000366210938
2019-06-13,123.30999755859375
2019-01-04,119.5999984741211
2018-08-29,118.52999877929688
2019-02-05,119.5999984741211
2018-11-01,118.87999725341797
2019-08-16,116.8499984741211
2019-04-10,117.25
2019-09-17,117.66999816894531
2019-10-15,119.02999877929688
2020-01-02,119.37000274658203
2020-06-08,120.29000091552734
2019-10-18,120.33999633789062
2020-03-24,120.3499984741211
2020-06-11,118.95999908447266
2020-01-08,121.91000366210938
2019-04-25,121.8499984741211
2019-07-30,121.0199966430664
2019-02-20,122.86000061035156
2018-07-11,123.7699966430664
2018-09-13,125.13999938964844
2018-10-15,125.54000091552734
2019-06-28,124.70999908447266
2018-12-18,124.7300033569336
2018-11-16,126.94000244140625
2019-10-02,127.47000122070312
2020-03-27,127.75
2020-01-10,131.74000549316406
2019-10-24,132.0399932861328
2020-03-30,131.97999572753906
2020-06-17,130.8300018310547
2020-01-14,132.00999450683594
2020-04-02,131.52000427246094
