Dates,NWL
2020-04-23,3623700.0
2018-12-14,1803400.0
2019-08-27,1845200.0
2018-08-08,1479300.0
2018-10-11,2902100.0
2018-11-12,3021800.0
2019-07-26,2448300.0
2019-06-24,2422900.0
2019-05-23,5176300.0
2019-03-20,2841400.0
2019-01-15,3584400.0
2019-11-20,3676000.0
2020-02-07,2370100.0
2020-02-10,2763000.0
2020-04-29,2880500.0
2019-11-26,2340300.0
2020-02-13,3684600.0
2019-01-30,4622500.0
2018-08-23,7850400.0
2018-09-24,3006700.0
2018-11-27,2647800.0
2018-10-26,3323000.0
2019-07-09,2779900.0
2019-06-07,5676800.0
2019-05-06,7006300.0
2019-04-04,4196000.0
2019-09-11,7234700.0
2019-11-29,9330100.0
2020-05-05,7320500.0
2019-12-02,5033000.0
2020-02-19,3925400.0
2020-05-08,4593000.0
2019-05-21,5553800.0
2019-03-18,6973900.0
2018-09-07,8180500.0
2018-08-06,9536700.0
2018-10-09,6619200.0
2019-02-14,6614000.0
2018-12-12,5681000.0
2019-07-24,6087400.0
2019-09-26,6415700.0
2019-10-28,4304100.0
2019-12-05,6597700.0
2020-05-11,5432000.0
2019-07-03,6163500.0
2020-02-25,5181700.0
2020-05-14,4452300.0
2020-02-28,4094700.0
2019-08-08,4105100.0
2019-06-05,5506800.0
2018-07-20,5029200.0
2018-08-21,4159900.0
2018-10-24,3122100.0
2019-04-02,3250700.0
2019-03-01,3638400.0
2019-01-28,3275200.0
2018-12-27,5238300.0
2019-09-09,2139500.0
2020-03-02,2850600.0
2020-05-20,2930700.0
2019-12-17,2955100.0
2020-03-05,4870300.0
2019-02-12,6883600.0
2019-01-11,3002000.0
2018-12-10,4209700.0
2019-08-23,4692800.0
2018-11-08,5442500.0
2019-07-22,4150600.0
2019-06-20,4972400.0
2018-09-05,3530900.0
2019-04-17,4785300.0
2019-09-24,6781100.0
2019-12-20,3766900.0
2020-05-26,3203700.0
2019-04-30,2764100.0
2019-12-23,3046800.0
2020-03-11,2591800.0
2020-05-29,3535500.0
2019-12-26,3639000.0
2020-06-01,7342000.0
2019-05-02,2813400.0
2019-02-27,2000900.0
2018-11-23,2917500.0
2019-08-06,3997400.0
2018-07-18,3270800.0
2018-09-20,4008200.0
2018-10-22,2180100.0
2019-07-05,3755300.0
2019-06-03,3974500.0
2019-10-09,3761100.0
2019-10-11,6024800.0
2020-03-17,3066100.0
2020-06-04,2843200.0
2019-10-14,4962700.0
2020-03-20,5231000.0
2018-11-06,5604100.0
2019-06-18,4910400.0
2019-05-17,4458000.0
2019-04-15,3567900.0
2019-03-14,3383600.0
2019-01-09,3163200.0
2018-08-02,4108100.0
2018-10-05,5035100.0
2019-08-21,3170300.0
2019-10-17,2773700.0
2020-03-23,11846400.0
2020-06-10,2980900.0
2019-02-25,4731500.0
2020-01-07,4692900.0
2020-03-26,2265500.0
2019-10-23,3870600.0
