Dates,ABC
2019-11-14,91.63999938964844
2020-04-20,91.9000015258789
2020-02-04,91.58000183105469
2020-04-23,91.37000274658203
2018-12-14,92.41999816894531
2019-08-27,92.19000244140625
2018-08-08,91.54000091552734
2018-10-11,88.25
2018-11-12,89.69999694824219
2019-07-26,90.8499984741211
2019-06-24,92.36000061035156
2019-05-23,89.29000091552734
2019-03-20,86.91999816894531
2019-01-15,89.13999938964844
2019-11-20,92.47000122070312
2020-02-07,93.76000213623047
2020-02-10,94.72000122070312
2020-04-29,94.18000030517578
2019-11-26,94.61000061035156
2020-02-13,97.5
2019-01-30,95.4800033569336
2018-08-23,94.73999786376953
2018-09-24,94.88999938964844
2018-11-27,95.19999694824219
2018-10-26,96.98999786376953
2019-07-09,97.38999938964844
2019-06-07,96.04000091552734
2019-05-06,95.7699966430664
2019-04-04,95.01000213623047
2019-09-11,92.94000244140625
2019-11-29,85.0
2020-05-05,88.31999969482422
2019-12-02,88.94999694824219
2020-02-19,90.43000030517578
2020-05-08,90.08000183105469
2019-05-21,86.2300033569336
2019-03-18,85.83000183105469
2018-09-07,86.2699966430664
2018-08-06,86.12000274658203
2018-10-09,84.27999877929688
2019-02-14,90.16999816894531
2018-12-12,87.41999816894531
2019-07-24,89.7300033569336
2019-09-26,90.76000213623047
2019-10-28,86.73999786376953
2019-12-05,87.62999725341797
2020-05-11,80.29000091552734
2019-07-03,80.62000274658203
2020-02-25,81.47000122070312
2020-05-14,85.18000030517578
2020-02-28,84.05999755859375
2019-08-08,88.55000305175781
2019-06-05,90.7300033569336
2018-07-20,88.70999908447266
2018-08-21,86.52999877929688
2018-10-24,84.62999725341797
2019-04-02,86.83000183105469
2019-03-01,89.43000030517578
2019-01-28,89.12999725341797
2018-12-27,89.41000366210938
2019-09-09,87.55999755859375
2020-03-02,89.9000015258789
2020-05-20,89.70999908447266
2019-12-17,89.26000213623047
2020-03-05,89.88999938964844
2019-02-12,90.11000061035156
2019-01-11,88.62000274658203
2018-12-10,88.12999725341797
2019-08-23,89.13999938964844
2018-11-08,89.44999694824219
2019-07-22,91.3499984741211
2019-06-20,92.08000183105469
2018-09-05,91.27999877929688
2019-04-17,91.02999877929688
2019-09-24,88.3499984741211
2019-12-20,87.05000305175781
2020-05-26,89.44999694824219
2019-04-30,88.55999755859375
2019-12-23,89.83000183105469
2020-03-11,92.4000015258789
2020-05-29,91.86000061035156
2019-12-26,91.98999786376953
2020-06-01,89.0
2019-05-02,84.1500015258789
2019-02-27,85.81999969482422
2018-11-23,90.0
2019-08-06,90.38999938964844
2018-07-18,95.12999725341797
2018-09-20,93.2699966430664
2018-10-22,93.69000244140625
2019-07-05,95.0
2019-06-03,93.44999694824219
2019-10-09,96.48999786376953
2019-10-11,95.5999984741211
2020-03-17,95.87000274658203
2020-06-04,98.73999786376953
2019-10-14,99.98999786376953
2020-03-20,99.98999786376953
2018-11-06,102.20999908447266
2019-06-18,102.98999786376953
2019-05-17,101.5999984741211
2019-04-15,100.58000183105469
2019-03-14,95.79000091552734
2019-01-09,95.63999938964844
2018-08-02,96.51000213623047
2018-10-05,99.5199966430664
2019-08-21,100.4800033569336
2019-10-17,100.83000183105469
2020-03-23,103.37000274658203
2020-06-10,101.86000061035156
2019-02-25,102.80000305175781
2020-01-07,101.45999908447266
2020-03-26,100.87999725341797
2019-10-23,100.94999694824219
