Dates,HLT
2019-11-25,73.62000274658203
2020-02-12,72.98999786376953
2020-05-01,74.62999725341797
2020-05-04,74.5199966430664
2019-06-12,72.05000305175781
2019-04-09,70.66000366210938
2019-03-08,70.16000366210938
2019-02-04,68.87000274658203
2018-07-27,63.81999969482422
2018-08-28,67.55000305175781
2019-01-03,68.2699966430664
2019-08-15,68.5999984741211
2018-10-31,68.69999694824219
2019-09-16,71.16999816894531
2020-02-18,72.6500015258789
2020-05-07,72.81999969482422
2018-08-17,72.4000015258789
2019-12-04,70.58999633789062
2020-02-21,72.97000122070312
2018-12-17,72.0199966430664
2019-08-30,71.16000366210938
2018-11-15,70.19000244140625
2019-07-29,70.86000061035156
2019-06-27,71.08000183105469
2019-04-24,72.88999938964844
2018-07-10,73.04000091552734
2018-09-12,71.19999694824219
2019-02-19,71.48999786376953
2019-01-18,72.56999969482422
2020-02-24,73.12000274658203
2020-05-13,75.08999633789062
2019-12-10,75.16999816894531
2020-02-27,76.94999694824219
2019-12-13,76.45999908447266
2020-05-19,75.54000091552734
2019-03-06,77.97000122070312
2018-11-30,75.1500015258789
2019-08-13,75.58999633789062
2019-07-12,72.86000061035156
2019-06-10,72.66999816894531
2019-05-09,72.4000015258789
2018-07-25,72.77999877929688
2018-09-27,72.22000122070312
2018-10-29,71.86000061035156
2019-10-16,70.2699966430664
2019-12-16,70.48999786376953
2020-03-04,69.66000366210938
2020-05-22,67.5
2019-10-01,66.47000122070312
2019-12-19,66.51000213623047
2018-09-10,69.51000213623047
2019-05-24,70.33000183105469
2018-08-09,70.94999694824219
2019-04-22,71.80000305175781
2019-03-21,70.94000244140625
2019-01-16,67.30000305175781
2019-08-28,69.94000244140625
2018-11-13,70.73999786376953
2018-10-12,71.86000061035156
2019-06-25,71.04000091552734
2020-03-10,72.06999969482422
2020-05-28,71.88999938964844
2019-10-07,70.98999786376953
2020-03-13,72.5
2019-10-10,72.04000091552734
2020-03-16,72.0
2020-06-03,73.08000183105469
2018-11-28,71.01000213623047
2018-09-25,70.7300033569336
2018-07-23,71.05999755859375
2018-08-24,71.76000213623047
2019-07-10,72.30999755859375
2019-05-07,73.1500015258789
2019-04-05,74.12999725341797
2019-03-04,74.4800033569336
2019-01-31,74.41999816894531
2019-09-12,74.7300033569336
2019-12-31,74.62000274658203
2020-03-19,75.56999969482422
2020-01-03,74.68000030517578
2020-06-09,73.91000366210938
2019-02-15,74.4000015258789
2019-01-14,74.31999969482422
2018-07-06,79.37000274658203
2018-08-07,80.16000366210938
2018-10-10,81.75
2018-12-13,81.38999938964844
2019-08-26,83.33999633789062
2019-07-25,83.25
2019-05-22,85.02999877929688
2019-03-19,83.55000305175781
2020-01-06,83.48999786376953
2020-03-25,83.48999786376953
2020-06-12,83.0999984741211
2019-10-22,83.77999877929688
2020-01-09,83.37999725341797
2020-06-15,84.01000213623047
2019-10-25,83.95999908447266
2020-03-31,82.91999816894531
2020-06-18,82.44999694824219
2019-04-03,82.80000305175781
2018-08-22,83.41000366210938
2018-10-25,83.66999816894531
2019-01-29,85.0
2018-12-28,85.76000213623047
2018-11-26,86.20999908447266
2019-08-09,85.69999694824219
2019-07-08,84.91999816894531
2019-06-06,85.79000091552734
2019-09-10,84.56999969482422
2020-01-15,84.0199966430664
2020-04-03,83.5
2019-10-31,82.44999694824219
2020-04-06,83.20999908447266
2020-06-24,83.11000061035156
2018-11-09,84.1500015258789
2019-07-23,85.04000091552734
2019-06-21,86.79000091552734
2019-05-20,87.30999755859375
2019-04-18,87.44000244140625
2018-09-06,88.18000030517578
2018-10-08,87.0999984741211
2019-02-13,87.98999786376953
2018-12-11,88.52999877929688
2019-09-25,88.7300033569336
2020-01-21,88.16999816894531
2020-04-09,88.1500015258789
2019-11-06,87.76000213623047
2020-01-24,87.2300033569336
2020-01-27,87.91000366210938
2020-04-15,87.91000366210938
2018-12-26,87.5
2019-08-07,87.62999725341797
2019-06-04,88.01000213623047
2018-09-21,87.25
