Dates,MSI
2019-11-19,129.44000244140625
2020-02-06,130.25999450683594
2019-11-22,130.32000732421875
2019-03-25,129.6300048828125
2019-02-21,130.33999633789062
2018-12-19,131.47999572753906
2018-07-12,128.64999389648438
2018-09-14,128.32000732421875
2018-08-13,126.5
2018-10-16,126.9800033569336
2019-07-31,125.54000091552734
2019-05-28,124.7300033569336
2019-04-26,124.20999908447266
2020-04-28,121.1500015258789
2019-11-25,120.83000183105469
2020-02-12,120.94000244140625
2020-05-01,124.08999633789062
2020-05-04,124.11000061035156
2019-06-12,124.8499984741211
2019-04-09,124.93000030517578
2019-03-08,123.83999633789062
2019-02-04,123.25
2018-07-27,124.62000274658203
2018-08-28,122.58999633789062
2019-01-03,121.31999969482422
2019-08-15,121.9800033569336
2018-10-31,119.4800033569336
2019-09-16,123.83000183105469
2020-02-18,124.08999633789062
2020-05-07,129.52000427246094
2018-08-17,128.6699981689453
2019-12-04,125.98999786376953
2020-02-21,128.92999267578125
2018-12-17,129.75
2019-08-30,129.99000549316406
2018-11-15,129.4499969482422
2019-07-29,129.35000610351562
2019-06-27,130.24000549316406
2019-04-24,130.10000610351562
2018-07-10,130.49000549316406
2018-09-12,129.9499969482422
2019-02-19,126.22000122070312
2019-01-18,125.19999694824219
2020-02-24,124.76000213623047
2020-05-13,127.37000274658203
2019-12-10,130.24000549316406
2020-02-27,132.10000610351562
2019-12-13,133.08999633789062
2020-05-19,132.9499969482422
2019-03-06,133.8300018310547
2018-11-30,133.97000122070312
2019-08-13,129.9199981689453
2019-07-12,129.6999969482422
2019-06-10,130.1999969482422
2019-05-09,131.3300018310547
2018-07-25,132.32000732421875
2018-09-27,131.2100067138672
2018-10-29,128.5
2019-10-16,127.13999938964844
2019-12-16,124.33000183105469
2020-03-04,122.91999816894531
2020-05-22,119.62000274658203
2019-10-01,118.5199966430664
2019-12-19,112.33999633789062
2018-09-10,112.30999755859375
2019-05-24,112.43000030517578
2018-08-09,113.66999816894531
2019-04-22,115.04000091552734
2019-03-21,115.87999725341797
2019-01-16,114.4000015258789
2019-08-28,116.7699966430664
2018-11-13,116.80999755859375
2018-10-12,119.51000213623047
2019-06-25,120.06999969482422
2020-03-10,117.66000366210938
2020-05-28,117.76000213623047
2019-10-07,116.37000274658203
2020-03-13,116.1500015258789
2019-10-10,116.9000015258789
2020-03-16,115.80999755859375
2020-06-03,116.18000030517578
2018-11-28,115.86000061035156
2018-09-25,115.5999984741211
2018-07-23,115.16999816894531
2018-08-24,116.80999755859375
2019-07-10,115.2699966430664
2019-05-07,116.12000274658203
2019-04-05,117.18000030517578
2019-03-04,117.66999816894531
2019-01-31,119.19000244140625
2019-09-12,120.25
2019-12-31,120.33999633789062
2020-03-19,120.66999816894531
2020-01-03,119.80999755859375
2020-06-09,136.77999877929688
2019-02-15,136.5399932861328
2019-01-14,138.32000732421875
2018-07-06,137.9199981689453
2018-08-07,137.97999572753906
2018-10-10,138.9199981689453
2018-12-13,139.49000549316406
2019-08-26,139.91000366210938
2019-07-25,139.64999389648438
2019-05-22,140.05999755859375
2019-03-19,141.47000122070312
2020-01-06,142.17999267578125
2020-03-25,143.02000427246094
2020-06-12,144.30999755859375
2019-10-22,144.57000732421875
2020-01-09,144.94000244140625
2020-06-15,142.42999267578125
2019-10-25,141.77999877929688
2020-03-31,140.63999938964844
2020-06-18,138.94000244140625
2019-04-03,141.97999572753906
2018-08-22,142.25999450683594
2018-10-25,141.85000610351562
2019-01-29,141.0
2018-12-28,141.6199951171875
2018-11-26,141.14999389648438
2019-08-09,141.22000122070312
2019-07-08,140.8000030517578
2019-06-06,141.25
2019-09-10,140.77999877929688
2020-01-15,138.97000122070312
2020-04-03,140.49000549316406
2019-10-31,141.4499969482422
2020-04-06,140.5
2020-06-24,140.61000061035156
2018-11-09,142.4600067138672
2019-07-23,142.35000610351562
2019-06-21,143.61000061035156
2019-05-20,142.75
2019-04-18,141.4499969482422
2018-09-06,140.91000366210938
2018-10-08,141.5
2019-02-13,142.75
2018-12-11,143.52000427246094
2019-09-25,143.6699981689453
2020-01-21,143.6999969482422
2020-04-09,144.91000366210938
2019-11-06,145.75999450683594
2020-01-24,144.7899932861328
2020-01-27,144.6199951171875
2020-04-15,146.41000366210938
2018-12-26,147.58999633789062
2019-08-07,146.30999755859375
2019-06-04,146.72999572753906
2018-09-21,146.07000732421875
2018-07-19,145.47999572753906
