Dates,BXP
2019-04-24,124.19999694824219
2018-07-10,125.62999725341797
2018-09-12,126.87999725341797
2019-02-19,126.19999694824219
2019-01-18,127.4000015258789
2020-02-24,126.30000305175781
2020-05-13,126.44000244140625
2019-12-10,127.58000183105469
2020-02-27,129.97000122070312
2019-12-13,130.3800048828125
2020-05-19,131.27000427246094
2019-03-06,132.30999755859375
2018-11-30,132.72999572753906
2019-08-13,132.6300048828125
2019-07-12,132.30999755859375
2019-06-10,128.75999450683594
2019-05-09,129.25
2018-07-25,128.47000122070312
2018-09-27,127.30000305175781
2018-10-29,126.0
2019-10-16,126.1500015258789
2019-12-16,121.5999984741211
2020-03-04,120.54000091552734
2020-05-22,118.12000274658203
2019-10-01,116.94000244140625
2019-12-19,114.27999877929688
2018-09-10,112.73999786376953
2019-05-24,112.68000030517578
2018-08-09,113.23999786376953
2019-04-22,112.55000305175781
2019-03-21,111.69999694824219
2019-01-16,111.33000183105469
2019-08-28,112.41999816894531
2018-11-13,112.9800033569336
2018-10-12,115.56999969482422
2019-06-25,117.69999694824219
2020-03-10,119.5199966430664
2020-05-28,119.30999755859375
2019-10-07,119.29000091552734
2020-03-13,119.30000305175781
2019-10-10,119.88999938964844
2020-03-16,120.88999938964844
2020-06-03,121.5999984741211
2018-11-28,121.63999938964844
2018-09-25,121.44999694824219
2018-07-23,121.2699966430664
2018-08-24,123.55000305175781
2019-07-10,125.30000305175781
2019-05-07,126.44000244140625
2019-04-05,130.50999450683594
2019-03-04,132.07000732421875
2019-01-31,132.0800018310547
2019-09-12,132.4600067138672
2019-12-31,132.50999450683594
2020-03-19,132.27000427246094
2020-01-03,132.6699981689453
2020-06-09,132.6300048828125
2019-02-15,133.4600067138672
2019-01-14,133.72000122070312
2018-07-06,134.02999877929688
2018-08-07,133.91000366210938
2018-10-10,134.24000549316406
2018-12-13,134.9199981689453
2019-08-26,134.35000610351562
2019-07-25,134.72999572753906
2019-05-22,135.99000549316406
2019-03-19,136.22000122070312
2020-01-06,135.22999572753906
2020-03-25,133.5399932861328
2020-06-12,134.8699951171875
2019-10-22,133.25999450683594
2020-01-09,132.88999938964844
2020-06-15,133.77999877929688
2019-10-25,134.07000732421875
2020-03-31,133.6999969482422
2020-06-18,133.5399932861328
2019-04-03,133.4600067138672
2018-08-22,135.36000061035156
2018-10-25,135.49000549316406
2019-01-29,135.49000549316406
2018-12-28,135.25999450683594
2018-11-26,133.80999755859375
2019-08-09,133.6300048828125
2019-07-08,132.89999389648438
2019-06-06,133.3800048828125
2019-09-10,133.86000061035156
2020-01-15,132.0
2020-04-03,132.97000122070312
2019-10-31,133.00999450683594
2020-04-06,133.72999572753906
2020-06-24,134.60000610351562
2018-11-09,135.52000427246094
2019-07-23,137.77000427246094
2019-06-21,138.61000061035156
2019-05-20,138.69000244140625
2019-04-18,138.44000244140625
2018-09-06,138.49000549316406
2018-10-08,137.8699951171875
2019-02-13,138.4499969482422
2018-12-11,139.41000366210938
2019-09-25,138.4199981689453
2020-01-21,138.24000549316406
2020-04-09,137.52000427246094
2019-11-06,134.5
2020-01-24,133.4600067138672
2020-01-27,132.8800048828125
2020-04-15,134.92999267578125
2018-12-26,136.36000061035156
2019-08-07,136.24000549316406
2019-06-04,137.17999267578125
