Dates,MTB
2020-05-08,1630600.0
2019-05-21,1354800.0
2019-03-18,1380900.0
2018-09-07,1762200.0
2018-08-06,1314600.0
2018-10-09,1927400.0
2019-02-14,2085400.0
2018-12-12,1467100.0
2019-07-24,1772900.0
2019-09-26,1896900.0
2019-10-28,1339100.0
2019-12-05,1342000.0
2020-05-11,1387800.0
2019-07-03,1394400.0
2020-02-25,1560200.0
2020-05-14,1134500.0
2020-02-28,812600.0
2019-08-08,1145500.0
2019-06-05,978100.0
2018-07-20,899700.0
2018-08-21,793400.0
2018-10-24,1138500.0
2019-04-02,1141700.0
2019-03-01,921300.0
2019-01-28,672200.0
2018-12-27,1221500.0
2019-09-09,731800.0
2020-03-02,833900.0
2020-05-20,725900.0
2019-12-17,889800.0
2020-03-05,1130900.0
2019-02-12,1208100.0
2019-01-11,903200.0
2018-12-10,590000.0
2019-08-23,630700.0
2018-11-08,679100.0
2019-07-22,656900.0
2019-06-20,721600.0
2018-09-05,744400.0
2019-04-17,684800.0
2019-09-24,511400.0
2019-12-20,1096300.0
2020-05-26,583800.0
2019-04-30,583000.0
2019-12-23,598600.0
2020-03-11,519400.0
2020-05-29,897800.0
2019-12-26,1054800.0
2020-06-01,970400.0
2019-05-02,1155500.0
2019-02-27,861600.0
2018-11-23,1014600.0
2019-08-06,1053300.0
2018-07-18,1106100.0
2018-09-20,1085100.0
2018-10-22,977900.0
2019-07-05,1268000.0
2019-06-03,1409300.0
2019-10-09,927500.0
2019-10-11,983300.0
2020-03-17,795200.0
2020-06-04,1184100.0
2019-10-14,1116300.0
2020-03-20,1092700.0
2018-11-06,1479000.0
2019-06-18,1014700.0
2019-05-17,786400.0
2019-04-15,996000.0
2019-03-14,1245400.0
2019-01-09,1078200.0
2018-08-02,1275600.0
2018-10-05,1046000.0
2019-08-21,803200.0
2019-10-17,772100.0
2020-03-23,3473000.0
2020-06-10,967600.0
2019-02-25,616600.0
2020-01-07,714900.0
2020-03-26,789500.0
2019-10-23,1433100.0
