Dates,MTB
2019-03-25,167.24000549316406
2019-02-21,164.72999572753906
2018-12-19,166.19000244140625
2018-07-12,164.22999572753906
2018-09-14,166.05999755859375
2018-08-13,167.27999877929688
2018-10-16,169.94000244140625
2019-07-31,168.17999267578125
2019-05-28,169.27999877929688
2019-04-26,169.5
2020-04-28,165.42999267578125
2019-11-25,162.02999877929688
2020-02-12,158.52000427246094
2020-05-01,159.77000427246094
2020-05-04,159.2100067138672
2019-06-12,162.63999938964844
2019-04-09,161.05999755859375
2019-03-08,164.1699981689453
2019-02-04,156.13999938964844
2018-07-27,158.41000366210938
2018-08-28,155.1999969482422
2019-01-03,156.8800048828125
2019-08-15,160.99000549316406
2018-10-31,161.75
2019-09-16,164.8000030517578
2020-02-18,166.0800018310547
2020-05-07,164.77000427246094
2018-08-17,164.0500030517578
2019-12-04,164.27000427246094
2020-02-21,164.66000366210938
2018-12-17,164.8000030517578
2019-08-30,167.24000549316406
2018-11-15,166.58999633789062
2019-07-29,165.1199951171875
2019-06-27,168.60000610351562
2019-04-24,163.94000244140625
2018-07-10,167.0399932861328
2018-09-12,169.0800018310547
2019-02-19,167.8000030517578
2019-01-18,168.7100067138672
2020-02-24,166.63999938964844
2020-05-13,169.1999969482422
2019-12-10,169.22000122070312
2020-02-27,167.55999755859375
2019-12-13,167.3800048828125
2020-05-19,167.24000549316406
2019-03-06,170.32000732421875
2018-11-30,167.5500030517578
2019-08-13,157.25999450683594
2019-07-12,161.25
2019-06-10,157.64999389648438
2019-05-09,157.24000549316406
2018-07-25,155.77000427246094
2018-09-27,154.41000366210938
2018-10-29,148.8000030517578
2019-10-16,147.0
2019-12-16,146.57000732421875
2020-03-04,143.8800048828125
2020-05-22,140.3699951171875
2019-10-01,140.25
2019-12-19,138.0
2018-09-10,136.52000427246094
2019-05-24,139.39999389648438
2018-08-09,141.5
2019-04-22,141.85000610351562
2019-03-21,141.11000061035156
2019-01-16,144.38999938964844
2019-08-28,146.39999389648438
2018-11-13,147.6300048828125
2018-10-12,150.6699981689453
2019-06-25,151.82000732421875
2020-03-10,151.8000030517578
2020-05-28,149.55999755859375
2019-10-07,149.66000366210938
2020-03-13,151.30999755859375
2019-10-10,152.74000549316406
2020-03-16,158.8699951171875
2020-06-03,164.52999877929688
2018-11-28,164.8699951171875
2018-09-25,167.67999267578125
2018-07-23,167.00999450683594
2018-08-24,169.10000610351562
2019-07-10,167.5800018310547
2019-05-07,167.72999572753906
2019-04-05,167.6999969482422
2019-03-04,165.3300018310547
2019-01-31,164.86000061035156
2019-09-12,164.17999267578125
2019-12-31,163.72999572753906
2020-03-19,161.83999633789062
2020-01-03,162.6999969482422
2020-06-09,166.0
2019-02-15,165.92999267578125
2019-01-14,169.1699981689453
2018-07-06,170.0
2018-08-07,169.57000732421875
2018-10-10,170.6199951171875
2018-12-13,171.13999938964844
2019-08-26,173.3800048828125
2019-07-25,174.61000061035156
2019-05-22,173.0800018310547
2019-03-19,173.5399932861328
2020-01-06,171.6999969482422
2020-03-25,170.77000427246094
2020-06-12,172.83999633789062
2019-10-22,173.00999450683594
2020-01-09,172.63999938964844
2020-06-15,172.5399932861328
2019-10-25,172.39999389648438
2020-03-31,169.00999450683594
2020-06-18,166.36000061035156
2019-04-03,168.3800048828125
2018-08-22,169.7100067138672
2018-10-25,170.9600067138672
2019-01-29,172.32000732421875
2018-12-28,172.72000122070312
2018-11-26,173.24000549316406
2019-08-09,175.72000122070312
2019-07-08,170.85000610351562
2019-06-06,163.00999450683594
2019-09-10,159.25
2020-01-15,154.0
2020-04-03,153.94000244140625
2019-10-31,155.14999389648438
2020-04-06,155.6199951171875
2020-06-24,158.4600067138672
2018-11-09,158.13999938964844
2019-07-23,161.24000549316406
2019-06-21,163.02000427246094
2019-05-20,161.77000427246094
2019-04-18,163.66000366210938
2018-09-06,163.11000061035156
2018-10-08,163.11000061035156
2019-02-13,162.55999755859375
2018-12-11,164.02999877929688
2019-09-25,166.13999938964844
2020-01-21,166.47000122070312
2020-04-09,164.10000610351562
2019-11-06,168.42999267578125
2020-01-24,167.9499969482422
2020-01-27,165.9499969482422
2020-04-15,166.17999267578125
2018-12-26,166.5
2019-08-07,165.55999755859375
2019-06-04,167.80999755859375
2018-09-21,169.25999450683594
2018-07-19,171.11000061035156
2018-08-20,169.8300018310547
