Dates,CTXS
2020-05-27,91.73502349853516
2019-12-24,92.00163269042969
2020-03-12,93.51814270019531
2018-12-20,93.57762145996094
2019-08-01,94.13268280029297
2018-08-14,94.91571807861328
2018-07-13,95.64918518066406
2018-10-17,95.67891693115234
2019-05-29,95.10404205322266
2019-03-26,95.78795623779297
2019-02-22,94.87606048583984
2019-10-04,95.86724853515625
2019-11-05,95.59962463378906
2019-12-27,96.11505126953125
2020-06-02,95.40139770507812
2019-12-30,94.32100677490234
2020-03-18,95.12385559082031
2020-06-05,94.99500274658203
2019-07-15,94.96527099609375
2018-12-03,95.66901397705078
2019-06-13,95.18333435058594
2019-01-04,94.3408203125
2018-08-29,94.8463363647461
2019-02-05,95.65910339355469
2018-11-01,95.94654846191406
2019-08-16,94.93553161621094
2019-04-10,95.73839569091797
2019-09-17,96.10513305664062
2019-10-15,97.3540267944336
2020-01-02,97.42340850830078
2020-06-08,98.57318115234375
2019-10-18,99.0489501953125
2020-03-24,99.90135955810547
2020-06-11,100.62492370605469
2020-01-08,102.28020477294922
2019-04-25,103.18218231201172
2019-07-30,102.75596618652344
2019-02-20,106.81981658935547
2018-07-11,104.70860290527344
2018-09-13,105.92776489257812
2018-10-15,106.22511291503906
2019-06-28,107.86056518554688
2018-12-18,107.90021514892578
2018-11-16,108.57421875
2019-10-02,108.28677368164062
2020-03-27,107.8308334350586
2020-01-10,108.623779296875
2019-10-24,109.13919067382812
2020-03-30,109.75373077392578
2020-06-17,110.32860565185547
2020-01-14,110.44755554199219
2020-04-02,110.95305633544922
2019-01-02,110.40790557861328
2019-08-14,111.59732055664062
2018-10-30,111.55768585205078
2019-06-11,112.33080291748047
2019-05-10,111.9244155883789
2019-04-08,112.24159240722656
2018-08-27,112.74710083007812
2018-07-26,113.0345458984375
2018-09-28,112.96515655517578
2019-03-07,112.51912689208984
2019-10-30,111.81538391113281
2020-01-17,110.92332458496094
2020-06-23,110.23941040039062
2020-04-08,109.89250183105469
2020-06-26,110.15101623535156
2019-03-22,109.99192810058594
2019-01-17,109.70357513427734
2019-08-29,109.05725860595703
2018-11-14,108.82855987548828
2019-06-26,109.67374420166016
2018-09-11,109.72345733642578
2018-07-09,111.06578826904297
2018-08-10,110.57857513427734
2019-04-23,110.63822937011719
2019-09-30,111.18511199951172
2020-01-23,110.4294204711914
2019-11-08,109.53453826904297
2020-04-14,110.04164123535156
2019-11-11,110.62828826904297
2020-01-29,110.16095733642578
2020-04-17,109.7333984375
2018-07-24,110.27033233642578
2018-09-26,111.03595733642578
2019-05-08,111.18511199951172
2019-03-05,112.36835479736328
2019-02-01,111.77176666259766
2018-12-31,113.11409759521484
2018-11-29,113.40245056152344
2019-08-12,113.09420776367188
2019-07-11,114.48625946044922
2019-09-13,114.30728149414062
2019-11-14,114.65528869628906
2020-04-20,116.21637725830078
2020-02-04,116.55445098876953
2020-04-23,117.18087005615234
2018-12-14,118.48343658447266
2019-08-27,127.75051879882812
2018-08-08,127.53176879882812
2018-10-11,126.17948913574219
2018-11-12,124.837158203125
2019-07-26,122.31158447265625
2019-06-24,121.84424591064453
2019-05-23,120.53173828125
2019-03-20,121.97350311279297
2019-01-15,122.78884887695312
2019-11-20,122.05305480957031
2020-02-07,121.5360107421875
2020-02-10,120.39253997802734
2020-04-29,121.12833404541016
2019-11-26,120.92947387695312
2020-02-13,121.34708404541016
2019-01-30,122.3016357421875
2018-08-23,121.33714294433594
2018-09-24,122.8087387084961
2018-11-27,121.55589294433594
2018-10-26,118.89111328125
2019-07-09,115.4209213256836
2019-06-07,111.30443572998047
2019-05-06,108.03311157226562
2019-04-04,106.19361877441406
2019-09-11,102.38536071777344
2019-11-29,102.80297088623047
2020-05-05,108.16236877441406
2019-12-02,105.79589080810547
2020-02-19,109.50470733642578
2020-05-08,116.16795349121094
2019-05-21,117.61431884765625
2019-03-18,115.65923309326172
2018-09-07,114.4921646118164
2018-08-06,114.51212310791016
2018-10-09,104.79653930664062
2019-02-14,113.38494873046875
2018-12-12,110.46229553222656
2019-07-24,127.14036560058594
2019-09-26,130.17274475097656
2019-10-28,124.99575805664062
2019-12-05,119.03076171875
2020-05-11,121.2950668334961
2019-07-03,121.69406127929688
2020-02-25,126.34237670898438
2020-05-14,137.46441650390625
2020-02-28,139.68881225585938
2019-08-08,145.5441131591797
2019-06-05,141.19503784179688
2018-07-20,138.79107666015625
2018-08-21,142.16261291503906
2018-10-24,140.9755859375
2019-04-02,146.77101135253906
2019-03-01,145.43438720703125
2019-01-28,146.4518280029297
2018-12-27,139.0504150390625
2019-09-09,139.6389617919922
2020-03-02,143.3994903564453
2020-05-20,144.7261505126953
2019-12-17,150.18243408203125
2020-03-05,150.03282165527344
2019-02-12,150.2921600341797
2019-01-11,146.27227783203125
2018-12-10,151.3096160888672
2019-08-23,141.2050018310547
2018-11-08,145.67376708984375
2019-07-22,147.11016845703125
2019-06-20,140.8359375
2018-09-05,139.62896728515625
2019-04-17,144.6463623046875
2019-09-24,142.2224578857422
2019-12-20,145.9530792236328
2020-05-26,146.21241760253906
2019-04-30,147.3495635986328
2019-12-23,150.30213928222656
2020-03-11,150.60137939453125
2020-05-29,153.63377380371094
2019-12-26,146.47177124023438
2020-06-01,146.14259338378906
2019-05-02,145.6937255859375
2019-02-27,146.35206604003906
2018-11-23,139.53919982910156
2019-08-06,136.82601928710938
2018-07-18,137.09535217285156
2018-09-20,136.38711547851562
2018-10-22,136.6963348388672
2019-07-05,138.60154724121094
2019-06-03,138.8609161376953
2019-10-09,140.8359375
2019-10-11,147.74855041503906
2020-03-17,146.28224182128906
2020-06-04,143.50921630859375
2019-10-14,139.2200164794922
2020-03-20,139.92999267578125
2018-11-06,139.14999389648438
2019-06-18,139.88999938964844
2019-05-17,140.22000122070312
2019-04-15,141.3699951171875
2019-03-14,137.8800048828125
2019-01-09,140.74000549316406
2018-08-02,143.22999572753906
2018-10-05,145.4600067138672
2019-08-21,145.3699951171875
2019-10-17,146.72999572753906
2020-03-23,144.60000610351562
2020-06-10,144.83999633789062
2019-02-25,142.72000122070312
2020-01-07,142.1699981689453
2020-03-26,140.88999938964844
2019-10-23,142.77000427246094
