Dates,TWTR
2019-02-01,13712900.0
2018-12-31,14632400.0
2018-11-29,10865500.0
2019-08-12,11148900.0
2019-07-11,11001300.0
2019-09-13,9814200.0
2019-11-14,11262300.0
2020-04-20,19919900.0
2020-02-04,19303500.0
2020-04-23,17055600.0
2018-12-14,12851800.0
2019-08-27,14887200.0
2018-08-08,12336600.0
2018-10-11,11800800.0
2018-11-12,9739400.0
2019-07-26,7563700.0
2019-06-24,12083800.0
2019-05-23,12033100.0
2019-03-20,14196200.0
2019-01-15,14598200.0
2019-11-20,20468200.0
2020-02-07,87659700.0
2020-02-10,31135100.0
2020-04-29,34860300.0
2019-11-26,14464700.0
2020-02-13,20716400.0
2019-01-30,19621400.0
2018-08-23,12210400.0
2018-09-24,16793600.0
2018-11-27,19068600.0
2018-10-26,17273400.0
2019-07-09,15312000.0
2019-06-07,25155400.0
2019-05-06,19841300.0
2019-04-04,18044300.0
2019-09-11,27221400.0
2019-11-29,33688900.0
2020-05-05,39914700.0
2019-12-02,22973100.0
2020-02-19,14980300.0
2020-05-08,14132200.0
2019-05-21,20361100.0
2019-03-18,41767600.0
2018-09-07,27327600.0
2018-08-06,27445400.0
2018-10-09,32519500.0
2019-02-14,29059100.0
2018-12-12,28768100.0
2019-07-24,28741700.0
2019-09-26,31012700.0
2019-10-28,29980000.0
2019-12-05,28250700.0
2020-05-11,21882600.0
2019-07-03,32815900.0
2020-02-25,25738800.0
2020-05-14,20435300.0
2020-02-28,22069300.0
2019-08-08,20720800.0
2019-06-05,24993400.0
2018-07-20,20027000.0
2018-08-21,17114800.0
2018-10-24,25029700.0
2019-04-02,26014900.0
2019-03-01,25831100.0
2019-01-28,31240800.0
2018-12-27,22233200.0
2019-09-09,15059900.0
2020-03-02,13766200.0
2020-05-20,15822200.0
2019-12-17,21946600.0
2020-03-05,21129500.0
2019-02-12,16755400.0
2019-01-11,28093700.0
2018-12-10,28587500.0
2019-08-23,19019600.0
2018-11-08,15936400.0
2019-07-22,22490600.0
2019-06-20,23364000.0
2018-09-05,29568800.0
2019-04-17,68791300.0
2019-09-24,28231100.0
2019-12-20,17846300.0
2020-05-26,19221900.0
2019-04-30,15531000.0
2019-12-23,16190500.0
2020-03-11,19208800.0
2020-05-29,13831900.0
2019-12-26,13734500.0
2020-06-01,19401700.0
2019-05-02,12364700.0
2019-02-27,15939200.0
2018-11-23,15790000.0
2019-08-06,17386200.0
2018-07-18,26955500.0
2018-09-20,22881700.0
2018-10-22,13310700.0
2019-07-05,20489300.0
2019-06-03,24550900.0
2019-10-09,37254900.0
2019-10-11,39427700.0
2020-03-17,14583600.0
2020-06-04,15318400.0
2019-10-14,28396300.0
2020-03-20,20265100.0
2018-11-06,23211500.0
2019-06-18,20211900.0
2019-05-17,17840700.0
2019-04-15,17480700.0
2019-03-14,23727900.0
2019-01-09,14699100.0
2018-08-02,19342200.0
2018-10-05,20132400.0
2019-08-21,12261900.0
2019-10-17,10543600.0
2020-03-23,19345500.0
2020-06-10,12896600.0
2019-02-25,20549300.0
2020-01-07,16586800.0
2020-03-26,17802600.0
2019-10-23,56913600.0
