Dates,MGM
2019-08-26,28.5
2019-07-25,28.850000381469727
2019-05-22,28.420000076293945
2019-03-19,28.0
2020-01-06,27.6200008392334
2020-03-25,27.579999923706055
2020-06-12,27.049999237060547
2019-10-22,27.059999465942383
2020-01-09,27.06999969482422
2020-06-15,26.889999389648438
2019-10-25,27.09000015258789
2020-03-31,26.93000030517578
2020-06-18,26.190000534057617
2019-04-03,26.579999923706055
2018-08-22,26.6299991607666
2018-10-25,26.760000228881836
2019-01-29,26.549999237060547
2018-12-28,26.6299991607666
2018-11-26,26.059999465942383
2019-08-09,26.450000762939453
2019-07-08,26.489999771118164
2019-06-06,26.110000610351562
2019-09-10,26.700000762939453
2020-01-15,26.040000915527344
2020-04-03,25.850000381469727
2019-10-31,25.75
2020-04-06,25.020000457763672
2020-06-24,25.690000534057617
2018-11-09,26.049999237060547
2019-07-23,26.639999389648438
2019-06-21,26.829999923706055
2019-05-20,27.049999237060547
2019-04-18,27.25
2018-09-06,27.5
2018-10-08,27.329999923706055
2019-02-13,26.5
2018-12-11,26.799999237060547
2019-09-25,27.25
2020-01-21,27.350000381469727
2020-04-09,27.309999465942383
2019-11-06,27.700000762939453
2020-01-24,27.610000610351562
2020-01-27,27.329999923706055
2020-04-15,27.229999542236328
2018-12-26,27.43000030517578
2019-08-07,27.700000762939453
2019-06-04,27.8700008392334
2018-09-21,28.440000534057617
2018-07-19,27.440000534057617
2018-08-20,26.799999237060547
2018-10-23,25.790000915527344
2019-05-03,25.700000762939453
2019-04-01,25.399999618530273
2019-02-28,25.389999389648438
2019-11-12,24.81999969482422
2020-01-30,25.200000762939453
2019-11-15,25.15999984741211
2020-04-21,25.040000915527344
2019-04-16,25.469999313354492
2019-03-15,25.690000534057617
2019-02-11,26.219999313354492
2019-01-10,26.149999618530273
2019-08-22,25.469999313354492
2018-11-07,25.510000228881836
2018-08-03,25.59000015258789
2018-09-04,25.530000686645508
2019-06-19,25.5
2019-09-23,25.760000228881836
2019-11-18,25.15999984741211
2020-02-05,25.360000610351562
2020-04-24,24.920000076293945
2019-03-29,24.850000381469727
2019-11-21,24.18000030517578
2020-04-27,25.850000381469727
2020-02-11,25.950000762939453
2020-04-30,26.329999923706055
2019-05-01,26.6299991607666
2019-02-26,27.649999618530273
2019-01-25,27.8700008392334
2018-12-24,27.8799991607666
2019-09-06,27.68000030517578
2018-07-17,27.670000076293945
2018-09-19,27.829999923706055
2019-08-05,28.18000030517578
2019-10-08,28.18000030517578
2019-12-11,27.93000030517578
2019-11-27,27.719999313354492
2020-02-14,27.90999984741211
2020-05-06,27.780000686645508
2019-01-08,28.0
2018-12-07,28.31999969482422
2019-08-20,29.170000076293945
2018-11-05,28.709999084472656
2019-07-19,28.940000534057617
2018-10-04,28.729999542236328
2019-06-17,29.030000686645508
2019-05-16,28.719999313354492
2018-08-01,29.299999237060547
2019-03-13,29.100000381469727
2019-12-03,28.799999237060547
2020-02-20,29.020000457763672
2019-12-06,29.43000030517578
