Dates,CLX
2019-02-05,147.69000244140625
2018-11-01,151.05999755859375
2019-08-16,149.5399932861328
2019-04-10,149.0
2019-09-17,149.80999755859375
2019-10-15,150.02000427246094
2020-01-02,148.5399932861328
2020-06-08,147.5
2019-10-18,146.74000549316406
2020-03-24,148.02999877929688
2020-06-11,149.19000244140625
2020-01-08,148.69000244140625
2019-04-25,147.25
2019-07-30,147.3699951171875
2019-02-20,149.80999755859375
2018-07-11,149.89999389648438
2018-09-13,150.6300048828125
2018-10-15,148.25999450683594
2019-06-28,149.6300048828125
2018-12-18,147.42999267578125
2018-11-16,146.55999755859375
2019-10-02,146.02000427246094
2020-03-27,146.27000427246094
2020-01-10,147.07000732421875
2019-10-24,146.50999450683594
2020-03-30,146.4199981689453
2020-06-17,146.6999969482422
2020-01-14,145.14999389648438
2020-04-02,145.30999755859375
2019-01-02,146.0800018310547
2019-08-14,144.3800048828125
2018-10-30,145.33999633789062
2019-06-11,145.33999633789062
2019-05-10,145.4499969482422
2019-04-08,144.92999267578125
2018-08-27,144.30999755859375
2018-07-26,144.89999389648438
2018-09-28,146.64999389648438
2019-03-07,147.60000610351562
2019-10-30,147.77999877929688
2020-01-17,147.58999633789062
2020-06-23,146.6999969482422
2020-04-08,147.22999572753906
2020-06-26,149.5
2019-03-22,150.5800018310547
2019-01-17,151.1199951171875
2019-08-29,151.6300048828125
2018-11-14,152.00999450683594
2019-06-26,151.72999572753906
2018-09-11,150.6999969482422
2018-07-09,151.35000610351562
2018-08-10,150.05999755859375
2019-04-23,148.89999389648438
2019-09-30,149.5
2020-01-23,151.88999938964844
2019-11-08,151.72000122070312
2020-04-14,151.42999267578125
2019-11-11,151.99000549316406
2020-01-29,152.6300048828125
2020-04-17,152.16000366210938
2018-07-24,152.38999938964844
2018-09-26,151.5500030517578
2019-05-08,151.24000549316406
2019-03-05,152.2899932861328
2019-02-01,151.50999450683594
2018-12-31,150.9499969482422
2018-11-29,151.72000122070312
2019-08-12,152.32000732421875
2019-07-11,153.35000610351562
2019-09-13,155.0
2019-11-14,156.05999755859375
2020-04-20,156.8300018310547
2020-02-04,156.72999572753906
2020-04-23,156.5399932861328
2018-12-14,159.00999450683594
2019-08-27,158.5500030517578
2018-08-08,157.64999389648438
2018-10-11,159.9600067138672
2018-11-12,156.05999755859375
2019-07-26,155.14999389648438
2019-06-24,154.8699951171875
2019-05-23,156.50999450683594
2019-03-20,154.8800048828125
2019-01-15,158.47999572753906
2019-11-20,163.27000427246094
2020-02-07,164.94000244140625
2020-02-10,163.50999450683594
2020-04-29,166.2899932861328
2019-11-26,164.66000366210938
2020-02-13,162.67999267578125
2019-01-30,163.80999755859375
2018-08-23,164.19000244140625
2018-09-24,163.86000061035156
2018-11-27,164.10000610351562
2018-10-26,163.58999633789062
2019-07-09,163.69000244140625
2019-06-07,165.7100067138672
2019-05-06,166.66000366210938
2019-04-04,166.52000427246094
2019-09-11,168.33999633789062
2019-11-29,155.8300018310547
2020-05-05,162.80999755859375
2019-12-02,166.08999633789062
2020-02-19,168.47000122070312
2020-05-08,169.72999572753906
2019-05-21,168.57000732421875
2019-03-18,167.0
2018-09-07,167.32000732421875
2018-08-06,166.32000732421875
2018-10-09,158.0
2019-02-14,156.67999267578125
2018-12-12,164.5
2019-07-24,176.42999267578125
2019-09-26,185.47000122070312
2019-10-28,187.02999877929688
2019-12-05,175.2100067138672
2020-05-11,168.5399932861328
2019-07-03,165.22000122070312
2020-02-25,161.11000061035156
2020-05-14,167.02000427246094
2020-02-28,168.50999450683594
2019-08-08,174.0
2019-06-05,170.69000244140625
2018-07-20,170.97999572753906
2018-08-21,173.7899932861328
2018-10-24,174.8699951171875
2019-04-02,173.41000366210938
2019-03-01,178.50999450683594
2019-01-28,178.50999450683594
2018-12-27,178.52000427246094
2019-09-09,182.38999938964844
2020-03-02,188.07000732421875
2020-05-20,193.77999877929688
2019-12-17,194.25999450683594
2020-03-05,189.25999450683594
2019-02-12,192.08999633789062
2019-01-11,189.7100067138672
2018-12-10,188.8800048828125
2019-08-23,188.66000366210938
2018-11-08,188.5
2019-07-22,188.63999938964844
2019-06-20,186.55999755859375
2018-09-05,180.58999633789062
2019-04-17,182.50999450683594
2019-09-24,189.02999877929688
2019-12-20,193.91000366210938
2020-05-26,198.52999877929688
2019-04-30,199.05999755859375
2019-12-23,201.11000061035156
2020-03-11,202.35000610351562
2020-05-29,203.42999267578125
2019-12-26,205.50999450683594
2020-06-01,204.6199951171875
2019-05-02,201.60000610351562
